HGNC_ID	STATUS	WITHDRAWN_SYMBOL	MERGED_INTO_REPORT(S) (i.e HGNC_ID
HGNC:5096	Merged/Split	HOX4I	HGNC:5136
HGNC:5097	Merged/Split	HOX7	HGNC:7391
HGNC:5142	Merged/Split	HPAFP	HGNC:317
HGNC:5143	Withdrawn	HPC1	
HGNC:5146	Withdrawn	HPCX	
HGNC:5148	Merged/Split	HPDR	HGNC:8918
HGNC:5149	Withdrawn	HPE1	
HGNC:5150	Merged/Split	HPE2	HGNC:10889
HGNC:5151	Merged/Split	HPE3	HGNC:10848
HGNC:5152	Merged/Split	HPE4	HGNC:11776
HGNC:5153	Withdrawn	HPFH2	
HGNC:5158	Withdrawn	HPRT2	
HGNC:5159	Withdrawn	HPRTP1	
HGNC:5162	Merged/Split	HPRTP4	HGNC:5161
HGNC:5165	Withdrawn	HPT	
HGNC:5169	Withdrawn	HPVC1	
HGNC:5170	Merged/Split	HPVE6A	HGNC:12496
HGNC:5179	Merged/Split	HRD	HGNC:11582
HGNC:5189	Merged/Split	HRP1	HGNC:12629
HGNC:5190	Merged/Split	HRPT1	HGNC:16783
HGNC:5191	Merged/Split	C1orf28	HGNC:16783
HGNC:5202	Merged/Split	HSAS1	HGNC:6470
HGNC:5204	Merged/Split	HSC	HGNC:4012
HGNC:5205	Merged/Split	HSCR	HGNC:3180
HGNC:5206	Merged/Split	HSCR1	HGNC:9967
HGNC:5207	Merged/Split	HSCR2	HGNC:3180
HGNC:5214	Merged/Split	HSD17B5	HGNC:386
HGNC:5230	Merged/Split	HSN1	HGNC:11277
HGNC:5231	Merged/Split	HSPA10	HGNC:5241
HGNC:5236	Withdrawn	HSPA3	
HGNC:5243	Withdrawn	HSPA9A	
HGNC:5250	Withdrawn	HSPBL1	
HGNC:5257	Merged/Split	HSPCAL4	HGNC:5253
HGNC:5260	Merged/Split	HSPCP2	HGNC:12099
HGNC:5262	Merged/Split	HSPDP1	HGNC:5264
HGNC:5265	Merged/Split	HSPDP4	HGNC:5264
HGNC:5272	Merged/Split	HSPG1	HGNC:10659
HGNC:5274	Merged/Split	HSST	HGNC:7680
HGNC:5277	Withdrawn	HTC1	
HGNC:5278	Withdrawn	HTC2	
HGNC:5279	Merged/Split	HTK	HGNC:3395
HGNC:5280	Withdrawn	HTL	
HGNC:5282	Merged/Split	HTLVR	HGNC:11005
HGNC:5288	Merged/Split	HTR1C	HGNC:5295
HGNC:5296	Merged/Split	HTR3	HGNC:5297
HGNC:5303	Merged/Split	HTRL	HGNC:5289
HGNC:5304	Merged/Split	HTT	HGNC:11050
HGNC:5305	Merged/Split	HTX1	HGNC:12874
HGNC:5306	Merged/Split	HTX2	HGNC:18292
HGNC:5307	Merged/Split	HUD	HGNC:3315
HGNC:5308	Merged/Split	HUR	HGNC:3312
HGNC:5310	Withdrawn	HV1S	
HGNC:5311	Withdrawn	HVBS1	
HGNC:5312	Withdrawn	HVBS4	
HGNC:5313	Withdrawn	HVBS6	
HGNC:5316	Merged/Split	HVEB	HGNC:9707
HGNC:5317	Merged/Split	HVEC	HGNC:9706
HGNC:5319	Merged/Split	HY	HGNC:11115
HGNC:5325	Merged/Split	HYKPP	HGNC:10591
HGNC:5327	Merged/Split	HYP	HGNC:8918
HGNC:5328	Merged/Split	HYRC1	HGNC:9413
HGNC:5332	Withdrawn	IBD2	
HGNC:5333	Withdrawn	IBD4	
HGNC:5334	Withdrawn	IBD5	
HGNC:5335	Withdrawn	IBD6	
HGNC:5336	Withdrawn	IBGC1	
HGNC:5337	Merged/Split	IBM2	HGNC:23657
HGNC:5338	Merged/Split	IBM3	HGNC:7572
HGNC:5339	Merged/Split	IBP1	HGNC:5461
HGNC:5340	Merged/Split	IBP2	HGNC:5471
HGNC:5342	Withdrawn	IC1	
HGNC:5349	Merged/Split	ICCA	HGNC:30500
HGNC:5352	Withdrawn	ICR1	
HGNC:5353	Merged/Split	ICR2B	HGNC:14637
HGNC:5354	Withdrawn	ICR3	
HGNC:5355	Withdrawn	ICR4	
HGNC:5356	Withdrawn	ICR5	
HGNC:5357	Withdrawn	ICS1	
HGNC:5364	Merged/Split	IDDM10	HGNC:6008
HGNC:5365	Withdrawn	IDDM11	
HGNC:5366	Merged/Split	IDDM12	HGNC:2505
HGNC:5367	Withdrawn	IDDM13	
HGNC:5368	Withdrawn	IDDM14	
HGNC:5369	Withdrawn	IDDM15	
HGNC:5370	Withdrawn	IDDM16	
HGNC:5371	Withdrawn	IDDM17	
HGNC:5372	Withdrawn	IDDM18	
HGNC:5373	Merged/Split	IDDM2	HGNC:6081
HGNC:5374	Withdrawn	IDDM3	
HGNC:5375	Withdrawn	IDDM4	
HGNC:5376	Merged/Split	IDDM5	HGNC:21181
HGNC:5377	Withdrawn	IDDM6	
HGNC:5378	Withdrawn	IDDM7	
HGNC:5379	Withdrawn	IDDM8	
HGNC:5380	Withdrawn	IDDM9	
HGNC:5388	Merged/Split	IDO	HGNC:6059
HGNC:5396	Merged/Split	IFI17	HGNC:5412
HGNC:5400	Merged/Split	IFI4	HGNC:225
HGNC:5402	Merged/Split	IFI53	HGNC:12729
HGNC:5403	Merged/Split	IFI54	HGNC:5409
HGNC:5404	Merged/Split	IFI56	HGNC:5407
HGNC:5405	Merged/Split	IFI56P	HGNC:5408
HGNC:5406	Merged/Split	IFI75	HGNC:5401
HGNC:5415	Withdrawn	IFN1@	
HGNC:5416	Merged/Split	IFNA	HGNC:5415
HGNC:5430	Merged/Split	IFNAI1	HGNC:5407
HGNC:5435	Merged/Split	IFNB2	HGNC:6018
HGNC:5436	Withdrawn	IFNB3	
HGNC:5437	Withdrawn	IFNBR	
HGNC:5441	Merged/Split	IFNGT1	HGNC:5440
HGNC:5445	Withdrawn	IFNP23	
HGNC:5446	Withdrawn	IFNP24	
HGNC:5458	Merged/Split	IGA	HGNC:1698
HGNC:5459	Withdrawn	IGAD1	
HGNC:5460	Merged/Split	IGB	HGNC:1699
HGNC:5462	Merged/Split	IGER	HGNC:7316
HGNC:5463	Withdrawn	IGES	
HGNC:5470	Merged/Split	IGFBP10	HGNC:2654
HGNC:5481	Withdrawn	IGHD@	
HGNC:5519	Withdrawn	IGHDOR15@	
HGNC:5520	Merged/Split	IGHDY1	HGNC:5477
HGNC:5521	Merged/Split	IGHDY2	HGNC:5519
HGNC:5530	Merged/Split	IGHJ	HGNC:5531
HGNC:5531	Withdrawn	IGHJ@	
HGNC:5543	Withdrawn	IGHR	
HGNC:5544	Merged/Split	IGHV	HGNC:5545
HGNC:5545	Withdrawn	IGHV@	
HGNC:5561	Merged/Split	IGHV1-E	HGNC:5558
HGNC:5578	Merged/Split	IGHV2@	HGNC:5711
HGNC:5630	Merged/Split	IGHV3-G	HGNC:5621
HGNC:5632	Merged/Split	IGHV3@	HGNC:5712
HGNC:5668	Withdrawn	IGHV7-77	
HGNC:5711	Withdrawn	IGHVOR15@	
HGNC:5712	Withdrawn	IGHVOR16@	
HGNC:5718	Withdrawn	IGKJ@	
HGNC:5727	Merged/Split	IGKV	HGNC:5728
HGNC:5728	Withdrawn	IGKV@	
HGNC:5729	Merged/Split	IGKV1	HGNC:5728
HGNC:5745	Merged/Split	IGKV1@	HGNC:5728
HGNC:5774	Merged/Split	IGKV1OR22-5A	HGNC:5773
HGNC:5775	Merged/Split	IGKV2	HGNC:5728
HGNC:5790	Merged/Split	IGKV2@	HGNC:5728
HGNC:5791	Merged/Split	IGKV268	HGNC:5830
HGNC:5807	Merged/Split	IGKV2OR2-1A	HGNC:5805
HGNC:5814	Merged/Split	IGKV3	HGNC:5728
HGNC:5822	Merged/Split	IGKV3@	HGNC:5728
HGNC:5831	Merged/Split	IGKV3OR2-268A	HGNC:5830
HGNC:5840	Withdrawn	IGKVOR2@	
HGNC:5841	Merged/Split	IGKVP@	HGNC:5840
HGNC:5842	Merged/Split	IGKVP1	HGNC:5764
HGNC:5843	Merged/Split	IGKVP2	HGNC:5765
HGNC:5844	Merged/Split	IGKVP3	HGNC:5833
HGNC:5845	Merged/Split	IGKVP4	HGNC:5812
HGNC:5846	Merged/Split	IGKVP5	HGNC:5772
HGNC:5847	Merged/Split	IGKVP6	HGNC:5813
HGNC:5848	Merged/Split	IGKVP7	HGNC:5773
HGNC:5849	Merged/Split	IGKVPZ1	HGNC:5760
HGNC:5850	Merged/Split	IGKVPZ2	HGNC:5761
HGNC:5851	Merged/Split	IGKVPZ3	HGNC:5762
HGNC:5852	Merged/Split	IGKVPZ4	HGNC:5763
HGNC:5854	Withdrawn	IGLC@	
HGNC:5862	Withdrawn	IGLJ@	
HGNC:5873	Withdrawn	IGLP1	
HGNC:5874	Withdrawn	IGLP2	
HGNC:5875	Withdrawn	IGLV@	
HGNC:5947	Merged/Split	IGO1	HGNC:4640
HGNC:5954	Withdrawn	IHG1	
HGNC:5955	Merged/Split	IHG2	HGNC:9005
HGNC:5957	Merged/Split	II	HGNC:4204
HGNC:5963	Merged/Split	IL10R	HGNC:5964
HGNC:5968	Withdrawn	IL11RB	
HGNC:5976	Withdrawn	IL14	
HGNC:5979	Merged/Split	IL15RB	HGNC:6009
HGNC:6007	Merged/Split	IL2R	HGNC:6008
HGNC:6013	Merged/Split	IL3RB	HGNC:2436
HGNC:6035	Merged/Split	ILA	HGNC:11924
HGNC:6039	Merged/Split	ILF3L	HGNC:16462
HGNC:6042	Merged/Split	IMD1	HGNC:1133
HGNC:6043	Merged/Split	IMD2	HGNC:12731
HGNC:6044	Merged/Split	IMD3	HGNC:11935
HGNC:6045	Merged/Split	IMD4	HGNC:6010
HGNC:6046	Merged/Split	IMD5	HGNC:10820
HGNC:6049	Merged/Split	IMPA	HGNC:6050
HGNC:6056	Merged/Split	IMPT1	HGNC:10964
HGNC:6070	Merged/Split	INP10	HGNC:10637
HGNC:6072	Withdrawn	INPP3	
HGNC:6073	Merged/Split	INPP4	HGNC:6074
HGNC:6078	Withdrawn	INPP5C	
HGNC:6082	Withdrawn	INSAF	
HGNC:6084	Withdrawn	INSL1	
HGNC:6085	Withdrawn	INSL2	
HGNC:6092	Withdrawn	INSRL	
HGNC:6094	Merged/Split	INSSA1	HGNC:18442
HGNC:6095	Withdrawn	INSSA2	
HGNC:6097	Merged/Split	INT1	HGNC:12774
HGNC:6098	Merged/Split	INT1L1	HGNC:12780
HGNC:6099	Merged/Split	INT3	HGNC:7884
HGNC:6100	Merged/Split	INT4	HGNC:12782
HGNC:6101	Merged/Split	INT6	HGNC:3277
HGNC:6103	Merged/Split	IOSCA	HGNC:1160
HGNC:6104	Merged/Split	IP1	HGNC:5961
HGNC:6105	Merged/Split	IP2	HGNC:5961
HGNC:6114	Merged/Split	IREB1	HGNC:117
HGNC:6123	Merged/Split	IRID1	HGNC:3800
HGNC:6124	Merged/Split	IRID2	HGNC:9005
HGNC:6151	Withdrawn	ITGAW	
HGNC:6165	Merged/Split	ITI	HGNC:453
HGNC:6170	Merged/Split	ITIHL1	HGNC:6169
HGNC:6185	Withdrawn	IV	
HGNC:6191	Merged/Split	JAK1B	HGNC:6190
HGNC:6194	Withdrawn	JBS	
HGNC:6195	Merged/Split	JK	HGNC:10918
HGNC:6197	Merged/Split	JMS	HGNC:886
HGNC:6198	Withdrawn	JPD	
HGNC:6202	Merged/Split	JTK5A	HGNC:10481
HGNC:6203	Merged/Split	JTK5B	HGNC:10482
HGNC:6208	Merged/Split	JWS	HGNC:3689
HGNC:6209	Withdrawn	K12T	
HGNC:6212	Merged/Split	KAL2	HGNC:3688
HGNC:6213	Merged/Split	KAL3	HGNC:15836
HGNC:6223	Merged/Split	KCNA4L	HGNC:6222
HGNC:6227	Merged/Split	KCNA9	HGNC:6294
HGNC:6245	Merged/Split	KCNF	HGNC:6246
HGNC:6247	Merged/Split	KCNG	HGNC:6248
HGNC:6268	Merged/Split	KCNJ7	HGNC:6267
HGNC:6271	Merged/Split	KCNJN1	HGNC:6258
HGNC:6276	Merged/Split	KCNK14	HGNC:13814
HGNC:6303	Merged/Split	KCS	HGNC:11582
HGNC:6310	Merged/Split	KERSMCR	HGNC:37808
HGNC:6311	Withdrawn	KFM	
HGNC:6312	Merged/Split	KFS	HGNC:6311
HGNC:6313	Merged/Split	KFSD	HGNC:15455
HGNC:6314	Merged/Split	KGFR	HGNC:3689
HGNC:6328	Merged/Split	KIR	HGNC:6338
HGNC:6382	Withdrawn	KMS	
HGNC:6384	Merged/Split	KNO	HGNC:2195
HGNC:6385	Withdrawn	KNPEP	
HGNC:6386	Merged/Split	KNS1	HGNC:6324
HGNC:6403	Merged/Split	KPP	HGNC:6413
HGNC:6405	Merged/Split	KRAG	HGNC:11322
HGNC:6409	Merged/Split	KRN1	HGNC:23604
HGNC:6410	Merged/Split	KRN1L	HGNC:23596
HGNC:6411	Merged/Split	KROX20	HGNC:3239
HGNC:6417	Withdrawn	KRT14L1	
HGNC:6418	Withdrawn	KRT14L2	
HGNC:6419	Withdrawn	KRT14L3	
HGNC:6422	Withdrawn	KRT15L	
HGNC:6424	Withdrawn	KRT16L1	
HGNC:6425	Withdrawn	KRT16L2	
HGNC:6437	Withdrawn	KRT22	
HGNC:6464	Merged/Split	KRTL1	HGNC:6444
HGNC:6466	Withdrawn	KSS	
HGNC:6468	Withdrawn	KWE	
HGNC:6471	Merged/Split	LAD	HGNC:2898
HGNC:6474	Merged/Split	LAG1	HGNC:10630
HGNC:6475	Merged/Split	LAG2	HGNC:4414
HGNC:6479	Withdrawn	LAKLG	
HGNC:6489	Merged/Split	LAMB2T	HGNC:6493
HGNC:6495	Merged/Split	LAMM	HGNC:6482
HGNC:6496	Merged/Split	LAMNA	HGNC:6483
HGNC:6497	Merged/Split	LAMNB1	HGNC:6490
HGNC:6498	Merged/Split	LAMNB2	HGNC:6493
HGNC:6507	Merged/Split	LAMS	HGNC:6487
HGNC:6516	Merged/Split	LBC	HGNC:371
HGNC:6519	Merged/Split	LCA	HGNC:4689
HGNC:6520	Merged/Split	LCA3	HGNC:20423
HGNC:6521	Merged/Split	LCA4	HGNC:359
HGNC:6523	Merged/Split	LCD1	HGNC:11771
HGNC:6531	Merged/Split	LD	HGNC:3768
HGNC:6534	Merged/Split	LDC	HGNC:6724
HGNC:6549	Merged/Split	LE	HGNC:4014
HGNC:6557	Merged/Split	LEU1	HGNC:1685
HGNC:6558	Merged/Split	LEU7	HGNC:921
HGNC:6559	Merged/Split	LFA3	HGNC:1688
HGNC:6571	Merged/Split	LGCR	HGNC:3512
HGNC:6573	Merged/Split	LGMD1	HGNC:12399
HGNC:6574	Merged/Split	LGMD1A	HGNC:12399
HGNC:6575	Merged/Split	LGMD1B	HGNC:6636
HGNC:6576	Merged/Split	LGMD1D	HGNC:14888
HGNC:6577	Merged/Split	LGMD2	HGNC:1480
HGNC:6578	Merged/Split	LGMD2A	HGNC:1480
HGNC:6579	Merged/Split	LGMD2B	HGNC:3097
HGNC:6580	Merged/Split	LGMD2C	HGNC:10809
HGNC:6581	Merged/Split	LGMD2G	HGNC:11610
HGNC:6582	Merged/Split	LGMD2H	HGNC:16380
HGNC:6590	Merged/Split	LHFPL4	HGNC:6589
HGNC:6591	Merged/Split	LHON	HGNC:7459
HGNC:6592	Merged/Split	LHRH	HGNC:4419
HGNC:6599	Merged/Split	LIG2	HGNC:6600
HGNC:6611	Merged/Split	LIMAB1	HGNC:78
HGNC:6615	Merged/Split	LIMM	HGNC:7499
HGNC:6620	Merged/Split	LIPD	HGNC:6677
HGNC:6624	Merged/Split	LKP	HGNC:2750
HGNC:6625	Merged/Split	LLCDL1	HGNC:3574
HGNC:6626	Merged/Split	LLCDL2	HGNC:3575
HGNC:6627	Merged/Split	LLCDL3	HGNC:3576
HGNC:6630	Withdrawn	LLP	
HGNC:6634	Merged/Split	LMN1	HGNC:6636
HGNC:6635	Merged/Split	LMN2	HGNC:6638
HGNC:6639	Merged/Split	LMNL1	HGNC:6636
HGNC:6640	Withdrawn	LMNL2	
HGNC:6650	Merged/Split	LMP2	HGNC:9546
HGNC:6651	Merged/Split	LMP7	HGNC:9545
HGNC:6652	Merged/Split	LMX1	HGNC:6653
HGNC:6655	Merged/Split	LNHR	HGNC:10720
HGNC:6659	Merged/Split	LOH18CR1	HGNC:11908
HGNC:6660	Merged/Split	LOH19CR1	HGNC:10402
HGNC:6669	Merged/Split	APOAL	HGNC:21210
HGNC:6670	Merged/Split	LPC1	HGNC:533
HGNC:6671	Merged/Split	LPC2A	HGNC:538
HGNC:6672	Merged/Split	LPC2B	HGNC:539
HGNC:6673	Merged/Split	LPC2C	HGNC:540
HGNC:6674	Merged/Split	LPC2D	HGNC:537
HGNC:6675	Merged/Split	LPGP1	HGNC:11800
HGNC:6676	Merged/Split	LPI	HGNC:11065
HGNC:6680	Merged/Split	LPS	HGNC:6121
HGNC:6681	Merged/Split	LQT	HGNC:6294
HGNC:6682	Merged/Split	LQT2	HGNC:6251
HGNC:6683	Merged/Split	LQT3	HGNC:10593
HGNC:6684	Merged/Split	LQT4	HGNC:493
HGNC:6686	Withdrawn	L1RE1	
HGNC:6687	Withdrawn	L1RE2	
HGNC:6688	Withdrawn	LRE3	
HGNC:6689	Withdrawn	LRE4	
HGNC:6699	Merged/Split	LRP7	HGNC:6697
HGNC:6704	Merged/Split	LRS1	HGNC:3755
HGNC:6706	Merged/Split	LSH	HGNC:10907
HGNC:6712	Merged/Split	LTB4H	HGNC:2646
HGNC:6725	Merged/Split	LW	HGNC:5347
HGNC:6733	Merged/Split	LYAM1	HGNC:10720
HGNC:6736	Merged/Split	LYP	HGNC:10820
HGNC:6739	Merged/Split	CHS1	HGNC:1968
HGNC:6744	Withdrawn	M130	
HGNC:6745	Merged/Split	M17S1	HGNC:3758
HGNC:6747	Withdrawn	M195	
HGNC:6748	Merged/Split	M1S1	HGNC:11530
HGNC:6749	Merged/Split	M3S1	HGNC:11853
HGNC:6750	Merged/Split	M4S1	HGNC:11529
HGNC:6751	Withdrawn	M6P2	
HGNC:6753	Merged/Split	M6S1	HGNC:3356
HGNC:6754	Merged/Split	M7V1	HGNC:10943
HGNC:6755	Withdrawn	MAA	
HGNC:6756	Merged/Split	MAAT1	HGNC:14484
HGNC:6777	Withdrawn	MAFD1	
HGNC:6778	Withdrawn	MAFD2	
HGNC:6779	Withdrawn	MAFD3	
HGNC:6784	Merged/Split	MAGE1	HGNC:6796
HGNC:6785	Merged/Split	MAGE10	HGNC:6797
HGNC:6786	Merged/Split	MAGE11	HGNC:6798
HGNC:6787	Merged/Split	MAGE12	HGNC:6799
HGNC:6788	Merged/Split	MAGE2	HGNC:6800
HGNC:6789	Merged/Split	MAGE3	HGNC:6801
HGNC:6790	Merged/Split	MAGE4	HGNC:6802
HGNC:6791	Merged/Split	MAGE5	HGNC:6803
HGNC:6792	Merged/Split	MAGE6	HGNC:6804
HGNC:6793	Merged/Split	MAGE7	HGNC:6805
HGNC:6794	Merged/Split	MAGE8	HGNC:6806
HGNC:6795	Merged/Split	MAGE9	HGNC:6807
HGNC:6820	Merged/Split	MAM	HGNC:10809
HGNC:6828	Merged/Split	MANA1	HGNC:6827
HGNC:6829	Merged/Split	MANA2	HGNC:6824
HGNC:6830	Merged/Split	MANB	HGNC:6826
HGNC:6832	Withdrawn	MANBB	
HGNC:6837	Merged/Split	MAP1L	HGNC:6835
HGNC:6870	Merged/Split	MAPE	HGNC:9336
HGNC:6894	Merged/Split	MAPTL	HGNC:6893
HGNC:6900	Merged/Split	MASA	HGNC:6470
HGNC:6911	Merged/Split	MATR1	HGNC:10955
HGNC:6920	Merged/Split	MBL	HGNC:6922
HGNC:6926	Withdrawn	MBS1	
HGNC:6927	Withdrawn	MBS2	
HGNC:6928	Withdrawn	MBS3	
HGNC:6939	Withdrawn	MCDR1	
HGNC:6941	Merged/Split	MCKD1	HGNC:7508
HGNC:6942	Withdrawn	MCKD2	
HGNC:6951	Merged/Split	MCNAA	HGNC:1094
HGNC:6952	Withdrawn	MCO	
HGNC:6955	Merged/Split	MCPH2	HGNC:24502
HGNC:6956	Merged/Split	MCPH3	HGNC:18672
HGNC:6957	Merged/Split	MCPH4	HGNC:24054
HGNC:6958	Merged/Split	MCPH5	HGNC:19048
HGNC:6961	Merged/Split	MCS	HGNC:24931
HGNC:6963	Merged/Split	MDC	HGNC:189
HGNC:6964	Merged/Split	MDCR	HGNC:8574
HGNC:6965	Withdrawn	MDF1	
HGNC:6966	Merged/Split	MDF2	HGNC:6153
HGNC:6969	Merged/Split	MDGI	HGNC:3557
HGNC:6975	Merged/Split	MDR1	HGNC:40
HGNC:6976	Merged/Split	MDR3	HGNC:45
HGNC:6977	Merged/Split	MDRS1	HGNC:15999
HGNC:6978	Withdrawn	MDRV	
HGNC:6979	Merged/Split	MDS1	HGNC:3498
HGNC:6980	Merged/Split	MDU1	HGNC:11026
HGNC:6981	Merged/Split	MDU2	HGNC:1681
HGNC:6982	Merged/Split	MDU3	HGNC:1681
HGNC:6987	Merged/Split	MEAX	HGNC:22082
HGNC:6988	Merged/Split	MEB	HGNC:19139
HGNC:6989	Merged/Split	MECL1	HGNC:9538
HGNC:6991	Merged/Split	MED	HGNC:10596
HGNC:6992	Merged/Split	MEF	HGNC:6998
HGNC:6999	Withdrawn	MEHMO	
HGNC:7003	Merged/Split	MEKK1	HGNC:6848
HGNC:7004	Merged/Split	MEKK2	HGNC:6854
HGNC:7005	Merged/Split	MEKK3	HGNC:6855
HGNC:7006	Merged/Split	MEKK4	HGNC:6856
HGNC:7008	Withdrawn	MELAS	
HGNC:7009	Withdrawn	MELL1	
HGNC:7011	Merged/Split	MEN2A	HGNC:9967
HGNC:7012	Merged/Split	MEN2B	HGNC:9967
HGNC:7018	Withdrawn	MEP1AL3	
HGNC:7019	Withdrawn	MEP1AL4	
HGNC:7021	Withdrawn	MER1	
HGNC:7022	Withdrawn	MER2	
HGNC:7023	Withdrawn	MER5	
HGNC:7024	Merged/Split	MER6	HGNC:1682
HGNC:7025	Withdrawn	MERR	
HGNC:7026	Merged/Split	MERRF	HGNC:7489
HGNC:7031	Merged/Split	MF4	HGNC:3672
HGNC:7039	Merged/Split	MFS1	HGNC:3603
HGNC:7040	Merged/Split	MFS2	HGNC:11773
HGNC:7041	Merged/Split	MFTL	HGNC:10421
HGNC:7042	Merged/Split	MGA1	HGNC:2548
HGNC:7052	Merged/Split	MGC1	HGNC:29861
HGNC:7053	Merged/Split	MGCR	HGNC:7180
HGNC:7054	Merged/Split	MGDF	HGNC:11795
HGNC:7055	Merged/Split	MGEA	HGNC:18432
HGNC:7057	Merged/Split	CTAGE5	HGNC:18432
HGNC:7058	Merged/Split	MGF	HGNC:6343
HGNC:7062	Merged/Split	MGST1L1	HGNC:9599
HGNC:7065	Withdrawn	MHAC	
HGNC:7066	Merged/Split	MHAM	HGNC:9588
HGNC:7068	Merged/Split	MHP1	HGNC:1388
HGNC:7069	Merged/Split	MHP2	HGNC:800
HGNC:7070	Merged/Split	MHS1	HGNC:10483
HGNC:7071	Withdrawn	MHS2	
HGNC:7072	Merged/Split	MHS3	HGNC:1399
HGNC:7073	Withdrawn	MHS4	
HGNC:7074	Merged/Split	MHS5	HGNC:1397
HGNC:7075	Withdrawn	MHS6	
HGNC:7077	Merged/Split	MIC10	HGNC:6953
HGNC:7078	Merged/Split	MIC11	HGNC:1689
HGNC:7079	Withdrawn	MIC12	
HGNC:7080	Withdrawn	MIC17	
HGNC:7081	Merged/Split	MIC18	HGNC:11529
HGNC:7084	Merged/Split	MIC3	HGNC:1709
HGNC:7085	Merged/Split	MIC4	HGNC:1681
HGNC:7086	Merged/Split	MIC5	HGNC:6470
HGNC:7087	Withdrawn	MIC6	
HGNC:7088	Withdrawn	MIC7	
HGNC:7089	Withdrawn	MIC9	
HGNC:7099	Merged/Split	MIN1	HGNC:1689
HGNC:7100	Merged/Split	MIN2	HGNC:1689
HGNC:7101	Merged/Split	MIN3	HGNC:1689
HGNC:7122	Merged/Split	MKS2	HGNC:25018
HGNC:7123	Merged/Split	MLA1	HGNC:1692
HGNC:7129	Merged/Split	MLK1	HGNC:6861
HGNC:7130	Merged/Split	MLK2	HGNC:6849
HGNC:7131	Merged/Split	MLK3	HGNC:6850
HGNC:7140	Merged/Split	MLM	HGNC:1787
HGNC:7143	Withdrawn	MLPL1	
HGNC:7144	Merged/Split	MLR	HGNC:7979
HGNC:7145	Merged/Split	MLS	HGNC:4837
HGNC:7147	Merged/Split	MLT	HGNC:6819
HGNC:7148	Merged/Split	MLVAR	HGNC:10947
HGNC:7149	Withdrawn	MLVI2	
HGNC:7152	Withdrawn	MMC	
HGNC:7164	Merged/Split	MMP18	HGNC:7165
HGNC:7168	Merged/Split	MMP21	HGNC:7170
HGNC:7169	Merged/Split	MMP22	HGNC:7171
HGNC:7177	Merged/Split	MMPL1	HGNC:14246
HGNC:7182	Merged/Split	MNBH	HGNC:3091
HGNC:7184	Merged/Split	MNG1	HGNC:17098
HGNC:7185	Merged/Split	MNGIE	HGNC:3148
HGNC:7186	Merged/Split	MNK	HGNC:869
HGNC:7187	Merged/Split	MNS	HGNC:4702, HGNC:4703
HGNC:7192	Merged/Split	MOCS1P2	HGNC:7191
HGNC:7194	Merged/Split	MODY1	HGNC:5024
HGNC:7195	Merged/Split	MODY2	HGNC:4195
HGNC:7196	Merged/Split	MODY3	HGNC:11621
HGNC:7204	Merged/Split	MOX44	HGNC:1686
HGNC:7205	Merged/Split	MPB1	HGNC:3350
HGNC:7206	Merged/Split	MPD1	HGNC:7577
HGNC:7209	Withdrawn	MPE	
HGNC:7210	Withdrawn	MPFD	
HGNC:7222	Merged/Split	MPSL1	HGNC:7174
HGNC:7232	Merged/Split	MRP	HGNC:51
HGNC:7233	Merged/Split	MRP1	HGNC:51
HGNC:7235	Merged/Split	MRS	HGNC:2761
HGNC:7236	Withdrawn	MRSD	
HGNC:7238	Merged/Split	MRX1	HGNC:29059
HGNC:7239	Merged/Split	MRX10	HGNC:5996
HGNC:7240	Withdrawn	MRX11	
HGNC:7241	Merged/Split	MRX12	HGNC:19073
HGNC:7242	Merged/Split	MRX13	HGNC:11114
HGNC:7243	Withdrawn	MRX14	
HGNC:7244	Withdrawn	MRX15	
HGNC:7245	Merged/Split	MRX16	HGNC:6990
HGNC:7246	Withdrawn	MRX17	
HGNC:7247	Merged/Split	MRX18	HGNC:29059
HGNC:7248	Merged/Split	MRX19	HGNC:10432
HGNC:7249	Merged/Split	MRX2	HGNC:9330
HGNC:7250	Withdrawn	MRX20	
HGNC:7251	Merged/Split	MRX21	HGNC:5996
HGNC:7252	Merged/Split	MRX22	HGNC:10923
HGNC:7253	Withdrawn	MRX23	
HGNC:7254	Withdrawn	MRX24	
HGNC:7255	Withdrawn	MRX25	
HGNC:7256	Withdrawn	MRX26	
HGNC:7257	Withdrawn	MRX27	
HGNC:7258	Withdrawn	MRX28	
HGNC:7259	Merged/Split	MRX29	HGNC:18060
HGNC:7260	Merged/Split	MRX3	HGNC:4839
HGNC:7261	Merged/Split	MRX30	HGNC:8592
HGNC:7262	Withdrawn	MRX31	
HGNC:7263	Merged/Split	MRX32	HGNC:18060
HGNC:7264	Merged/Split	MRX33	HGNC:18060
HGNC:7265	Merged/Split	MRX34	HGNC:5996
HGNC:7266	Merged/Split	MRX35	HGNC:19073
HGNC:7267	Merged/Split	MRX36	HGNC:18060
HGNC:7268	Withdrawn	MRX37	
HGNC:7269	Merged/Split	MRX38	HGNC:18060
HGNC:7270	Withdrawn	MRX39	
HGNC:7271	Withdrawn	MRX4	
HGNC:7272	Withdrawn	MRX40	
HGNC:7273	Merged/Split	MRX41	HGNC:4226
HGNC:7274	Withdrawn	MRX42	
HGNC:7275	Merged/Split	MRX43	HGNC:18060
HGNC:7276	Merged/Split	MRX44	HGNC:13254
HGNC:7277	Merged/Split	MRX45	HGNC:13156
