HGNC_ID	STATUS	WITHDRAWN_SYMBOL	MERGED_INTO_REPORT(S) (i.e HGNC_ID
HGNC:509	Merged/Split	ANTP3	HGNC:19250
HGNC:510	Withdrawn	ANTP4	
HGNC:514	Merged/Split	ANX1	HGNC:533
HGNC:515	Merged/Split	ANX11	HGNC:535
HGNC:516	Merged/Split	ANX13	HGNC:536
HGNC:517	Merged/Split	ANX2	HGNC:537
HGNC:518	Merged/Split	ANX2L1	HGNC:538
HGNC:519	Merged/Split	ANX2L2	HGNC:539
HGNC:520	Merged/Split	ANX2L3	HGNC:540
HGNC:521	Merged/Split	ANX2L4	HGNC:537
HGNC:522	Merged/Split	ANX2LG	HGNC:10487
HGNC:523	Merged/Split	ANX2P1	HGNC:538
HGNC:524	Merged/Split	ANX2P2	HGNC:539
HGNC:525	Merged/Split	ANX2P3	HGNC:540
HGNC:526	Merged/Split	ANX3	HGNC:541
HGNC:527	Merged/Split	ANX31	HGNC:547
HGNC:528	Merged/Split	ANX4	HGNC:542
HGNC:529	Merged/Split	ANX5	HGNC:543
HGNC:530	Merged/Split	ANX6	HGNC:544
HGNC:531	Merged/Split	ANX7	HGNC:545
HGNC:532	Merged/Split	ANX8	HGNC:546
HGNC:551	Merged/Split	AOM	HGNC:2200
HGNC:552	Merged/Split	AOP1	HGNC:9354
HGNC:577	Merged/Split	APAH1	HGNC:8049
HGNC:585	Merged/Split	APECED	HGNC:360
HGNC:596	Merged/Split	API6	HGNC:1690
HGNC:599	Merged/Split	APNH	HGNC:11071
HGNC:606	Withdrawn	APOBER1	
HGNC:614	Withdrawn	APOEL1	
HGNC:617	Merged/Split	APOJ	HGNC:2095
HGNC:623	Withdrawn	APPL	
HGNC:624	Merged/Split	APPL2	HGNC:598
HGNC:625	Merged/Split	APR	HGNC:6692
HGNC:627	Merged/Split	APS	HGNC:6364
HGNC:628	Merged/Split	APT1	HGNC:11920
HGNC:629	Merged/Split	APT1LG1	HGNC:11936
HGNC:632	Merged/Split	APY	HGNC:7316
HGNC:635	Merged/Split	AQP2L	HGNC:639
HGNC:641	Merged/Split	AQP7L	HGNC:640
HGNC:645	Merged/Split	ARA	HGNC:57
HGNC:650	Withdrawn	ARCN2	
HGNC:653	Merged/Split	ARF2	HGNC:655
HGNC:665	Merged/Split	ARH12	HGNC:667
HGNC:666	Merged/Split	ARH6	HGNC:668
HGNC:699	Merged/Split	ARMD1	HGNC:19194
HGNC:702	Merged/Split	ARP1	HGNC:7976
HGNC:709	Merged/Split	ARR1	HGNC:711
HGNC:715	Merged/Split	ARSC1	HGNC:11425
HGNC:729	Merged/Split	ARVD1	HGNC:11769
HGNC:730	Merged/Split	ARVD2	HGNC:10484
HGNC:731	Withdrawn	ARVD3	
HGNC:732	Withdrawn	ARVD4	
HGNC:733	Merged/Split	ARVD5	HGNC:28472
HGNC:734	Merged/Split	AS	HGNC:4932
HGNC:737	Merged/Split	ASB	HGNC:397
HGNC:741	Withdrawn	ASD1	
HGNC:748	Merged/Split	ASLN	HGNC:2207
HGNC:749	Merged/Split	ASMD	HGNC:9006
HGNC:774	Withdrawn	ASVS1	
HGNC:776	Merged/Split	ATA	HGNC:795
HGNC:778	Merged/Split	ATC	HGNC:795
HGNC:780	Withdrawn	ATD	
HGNC:781	Merged/Split	ATDC	HGNC:795
HGNC:793	Withdrawn	ATHS	
HGNC:796	Merged/Split	ATN1L	HGNC:9965
HGNC:802	Merged/Split	ATP1AL1	HGNC:13816
HGNC:803	Merged/Split	ATP1AL2	HGNC:14073
HGNC:810	Merged/Split	ATP1G1	HGNC:4026
HGNC:818	Withdrawn	ATP3	
HGNC:821	Merged/Split	ATP5	HGNC:847
HGNC:822	Merged/Split	ATP5A	HGNC:847
HGNC:825	Merged/Split	ATP5A1P5	HGNC:827
HGNC:826	Merged/Split	ATP5AL2	HGNC:823
HGNC:832	Withdrawn	ATP5BL2	
HGNC:835	Merged/Split	ATP5CL1	HGNC:833
HGNC:836	Merged/Split	ATP5CL2	HGNC:834
HGNC:852	Withdrawn	ATP6V1A2	
HGNC:867	Merged/Split	ATP6N2	HGNC:866
HGNC:872	Merged/Split	ATPL	HGNC:855
HGNC:873	Merged/Split	ATPM	HGNC:823
HGNC:874	Merged/Split	ATPSB	HGNC:830
HGNC:875	Merged/Split	ATPSBL1	HGNC:831
HGNC:876	Merged/Split	ATPSBL2	HGNC:832
HGNC:883	Merged/Split	ATRC1	HGNC:11057
HGNC:884	Merged/Split	ATRC2	HGNC:11060
HGNC:887	Merged/Split	ATS	HGNC:2207
