AC005034	Blood[0]
AC005037	Blood[0]
AC005041	Blood[0]
AC005042	Blood[0]
AC005046	Blood[0]
AC005050	Blood[0]
AC005064	Blood[0]
AC005070	Blood[0]
AC005076	Blood[0]
AC005082	Blood[0]
AC005086	Blood[0]
AC005090	Blood[0]
AC005091	Blood[0]
AC005096	Blood[0]
AC005104	Blood[0]
AC005144	Blood[0]
AC005150	Blood[0]
AC005162	Blood[0]
AC005165	Blood[0]
AC005180	Blood[0]
AC005186	Blood[0]
AC005197	Blood[0]
AC005208	Blood[0]
AC005209	Blood[0]
AC005220	Blood[0]
AC005224	Blood[0]
AC005225	Blood[0]
AC005229	Blood[0]
AC005232	Blood[0]
AC005234	Blood[0]
AC005237	Blood[0]
AC005244	Blood[0]
AC005256	Blood[0]
AC005258	Blood[0]
AC005261	Blood[0]
AC005262	Blood[0]
AC005264	Blood[0]
AC005277	Blood[0]
AC005280	Blood[0]
AC005281	Blood[0]
AC005288	Blood[0]
AC005291	Blood[0]
AC005303	Blood[0]
AC005304	Blood[0]
AC005307	Blood[0]
AC005323	Blood[0]
AC005324	Blood[0]
AC005329	Blood[0]
AC005330	Blood[0]
AC005332	Blood[0]
AC005339	Blood[0]
AC005342	Blood[0]
AC005344	Blood[0]
AC005355	Blood[0]
AC005358	Blood[0]
AC005363	Blood[0]
AC005379	Blood[0]
AC005381	Blood[0]
AC005383	Blood[0]
AC005387	Blood[0]
AC005393	Blood[0]
AC005394	Blood[0]
AC005410	Blood[0]
AC005476	Blood[0]
AC005479	Blood[0]
AC005480	Blood[0]
AC005481	Blood[0]
AC005482	Blood[0]
AC005486	Blood[0]
AC005487	Blood[0]
AC005498	Blood[0]
AC005515	Blood[0]
AC005520	Blood[0]
AC005522	Blood[0]
AC005523	Blood[0]
AC005534	Blood[0]
AC005537	Blood[0]
AC005538	Blood[0]
AC005540	Blood[0]
AC005544	Blood[0]
AC005546	Blood[0]
AC005549	Blood[0]
AC005550	Blood[0]
AC005551	Blood[0]
AC005552	Blood[0]
AC005580	Blood[0]
AC005586	Blood[0]
AC005597	Blood[0]
AC005606	Blood[0]
AC005609	Blood[0]
AC005614	Blood[0]
AC005616	Blood[0]
AC005618	Blood[0]
AC005625	Blood[0]
AC005632	Blood[0]
AC005670	Blood[0]
AC005674	Blood[0]
AC005692	Blood[0]
AC005695	Blood[0]
AC005696	Blood[0]
AC005697	Blood[0]
AC005699	Blood[0]
AC005702	Blood[0]
AC005703	Blood[0]
AC005722	Blood[0]
AC005725	Blood[0]
AC005726	Blood[0]
AC005730	Blood[0]
AC005736	Blood[0]
AC005740	Blood[0]
AC005746	Blood[0]
AC005753	Blood[0]
AC005757	Blood[0]
AC005759	Blood[0]
AC005772	Blood[0]
AC005774	Blood[0]
AC005775	Blood[0]
AC005776	Blood[0]
AC005779	Blood[0]
AC005786	Blood[0]
AC005789	Blood[0]
AC005790	Blood[0]
AC005808	Blood[0]
AC005821	Blood[0]
AC005823	Blood[0]
AC005828	Blood[0]
AC005832	Blood[0]
AC005833	Blood[0]
AC005837	Blood[0]
AC005838	Blood[0]
AC005840	Blood[0]
AC005841	Blood[0]
AC005842	Blood[0]
AC005845	Blood[0]
AC005856	Blood[0]
AC005863	Blood[0]
AC005865	Blood[0]
AC005871	Blood[0]
AC005899	Blood[0]
AC005901	Blood[0]
AC005908	Blood[0]
AC005909	Blood[0]
AC005920	Blood[0]
AC005921	Blood[0]
AC005943	Blood[0]
AC005944	Blood[0]
AC005954	Blood[0]
AC005962	Blood[0]
AC005972	Blood[0]
AC005993	Blood[0]
AC005996	Blood[0]
AC005999	Blood[0]
AC006004	Blood[0]
AC006007	Blood[0]
AC006012	Blood[0]
AC006013	Blood[0]
AC006017	Blood[0]
AC006019	Blood[0]
AC006026	Blood[0]
AC006027	Blood[0]
AC006030	Blood[0]
AC006033	Blood[0]
AC006037	Blood[0]
AC006041	Blood[0]
AC006042	Blood[0]
AC006055	Blood[0]
AC006058	Blood[0]
AC006059	Blood[0]
AC006063	Blood[0]
AC006064	Blood[0]
AC006065	Blood[0]
AC006076	Blood[0]
AC006111	Blood[0]
AC006115	Blood[0]
AC006116	Blood[0]
AC006130	Blood[0]
AC006145	Blood[0]
AC006146	Blood[0]
AC006148	Blood[0]
AC006150	Blood[0]
AC006157	Blood[0]
AC006159	Blood[0]
AC006205	Blood[0]
AC006206	Blood[0]
AC006207	Blood[0]
AC006213	Blood[0]
AC006238	Blood[0]
AC006252	Blood[0]
AC006254	Blood[0]
AC006270	Blood[0]
AC006272	Blood[0]
AC006273	Blood[0]
AC006288	Blood[0]
AC006296	Blood[0]
AC006299	Blood[0]
AC006305	Blood[0]
AC006329	Blood[0]
AC006333	Blood[0]
AC006355	Blood[0]
AC006357	Blood[0]
AC006372	Blood[0]
AC006378	Blood[0]
AC006435	Blood[0]
AC006441	Blood[0]
AC006449	Blood[0]
AC006450	Blood[0]
AC006455	Blood[0]
AC006458	Blood[0]
AC006460	Blood[0]
AC006480	Blood[0]
AC006482	Blood[0]
AC006483	Blood[0]
AC006486	Blood[0]
AC006487	Blood[0]
AC006504	Blood[0]
AC006511	Blood[0]
AC006518	Blood[0]
AC006538	Blood[0]
AC006547	Blood[0]
AC006557	Blood[0]
AC006581	Blood[0]
AC006942	Blood[0]
AC006946	Blood[0]
AC006960	Blood[0]
AC006967	Blood[0]
AC006974	Blood[0]
AC006978	Blood[0]
AC007001	Blood[0]
AC007009	Blood[0]
AC007014	Blood[0]
AC007029	Blood[0]
AC007036	Blood[0]
AC007038	Blood[0]
AC007040	Blood[0]
AC007064	Blood[0]
AC007091	Blood[0]
AC007099	Blood[0]
AC007100	Blood[0]
AC007106	Blood[0]
AC007114	Blood[0]
AC007126	Blood[0]
AC007128	Blood[0]
AC007159	Blood[0]
AC007163	Blood[0]
AC007179	Blood[0]
AC007192	Blood[0]
AC007193	Blood[0]
AC007207	Blood[0]
AC007216	Blood[0]
AC007218	Blood[0]
AC007220	Blood[0]
AC007221	Blood[0]
