Gene stable ID	Transcript stable ID	Protein stable ID	HGNC ID	HGNC symbol
ENSG00000284732	ENST00000641599	ENSP00000493241		
ENSG00000242887	ENST00000463911	ENSP00000420517	HGNC:5536	IGHJ3
ENSG00000237547	ENST00000454480		HGNC:5535	IGHJ2P
ENSG00000211904	ENST00000390564	ENSP00000419748	HGNC:5534	IGHJ2
ENSG00000150269	ENST00000279791	ENSP00000279791	HGNC:15294	OR5M9
ENSG00000211905	ENST00000390565	ENSP00000418050	HGNC:5532	IGHJ1
ENSG00000254411	ENST00000525853			
ENSG00000236597	ENST00000439842	ENSP00000418639	HGNC:5518	IGHD7-27
ENSG00000254490	ENST00000526140		HGNC:14818	OR5M7P
ENSG00000227335	ENST00000450690		HGNC:5533	IGHJ1P
ENSG00000254660	ENST00000532561			
ENSG00000211907	ENST00000390567	ENSP00000420733	HGNC:5485	IGHD1-26
ENSG00000225825	ENST00000452198	ENSP00000417751	HGNC:5516	IGHD6-25
ENSG00000211909	ENST00000390569	ENSP00000419139	HGNC:5510	IGHD5-24
ENSG00000254603	ENST00000530227		HGNC:14814	OR5M6P
ENSG00000227196	ENST00000437320	ENSP00000430248	HGNC:5504	IGHD4-23
ENSG00000185701	ENST00000529703		HGNC:14810	OR5M5P
ENSG00000211911	ENST00000390571	ENSP00000429952	HGNC:5497	IGHD3-22
ENSG00000211912	ENST00000390572	ENSP00000429324	HGNC:5491	IGHD2-21
ENSG00000244620	ENST00000414005			
ENSG00000244620	ENST00000418566			
ENSG00000185522	ENST00000329451	ENSP00000331167	HGNC:28561	LMNTD2
ENSG00000185522	ENST00000469990		HGNC:28561	LMNTD2
ENSG00000185522	ENST00000441853	ENSP00000393529	HGNC:28561	LMNTD2
ENSG00000185522	ENST00000486629	ENSP00000435529	HGNC:28561	LMNTD2
ENSG00000185522	ENST00000492515		HGNC:28561	LMNTD2
ENSG00000237020	ENST00000450276	ENSP00000420556	HGNC:5484	IGHD1-20
ENSG00000211914	ENST00000390574	ENSP00000418010	HGNC:5515	IGHD6-19
ENSG00000211915	ENST00000390575	ENSP00000417555	HGNC:5509	IGHD5-18
ENSG00000227800	ENST00000431870	ENSP00000431089	HGNC:5503	IGHD4-17
ENSG00000211917	ENST00000390577	ENSP00000428366	HGNC:5496	IGHD3-16
ENSG00000211918	ENST00000390578	ENSP00000427969	HGNC:5489	IGHD2-15
ENSG00000227108	ENST00000451044	ENSP00000418765	HGNC:5483	IGHD1-14
ENSG00000004139	ENST00000379061		HGNC:17074	SARM1
ENSG00000004139	ENST00000585482	ENSP00000468032	HGNC:17074	SARM1
ENSG00000004139	ENST00000585453		HGNC:17074	SARM1
ENSG00000004139	ENST00000582323	ENSP00000464166	HGNC:17074	SARM1
ENSG00000004139	ENST00000578128	ENSP00000462479	HGNC:17074	SARM1
ENSG00000004139	ENST00000577870		HGNC:17074	SARM1
ENSG00000004139	ENST00000580711		HGNC:17074	SARM1
ENSG00000004139	ENST00000579593	ENSP00000462228	HGNC:17074	SARM1
ENSG00000211920	ENST00000390580	ENSP00000419564	HGNC:5514	IGHD6-13
ENSG00000211921	ENST00000390581	ENSP00000419283	HGNC:5508	IGHD5-12
ENSG00000237682	ENST00000392722		HGNC:55035	PRKCIP1
ENSG00000126947	ENST00000372829	ENSP00000361917	HGNC:18073	ARMCX1
ENSG00000232543	ENST00000431440	ENSP00000430034	HGNC:5502	IGHD4-11
ENSG00000211925	ENST00000390585	ENSP00000428616	HGNC:5492	IGHD2-8
ENSG00000137875	ENST00000260442	ENSP00000260442	HGNC:993	BCL2L10
ENSG00000137875	ENST00000561198	ENSP00000453562	HGNC:993	BCL2L10
ENSG00000237197	ENST00000430425	ENSP00000420794	HGNC:5486	IGHD1-7
ENSG00000228131	ENST00000454691	ENSP00000418151	HGNC:5517	IGHD6-6
ENSG00000211928	ENST00000390588	ENSP00000417892	HGNC:5511	IGHD5-5
ENSG00000233655	ENST00000414852	ENSP00000428393	HGNC:5505	IGHD4-4
ENSG00000211930	ENST00000390590	ENSP00000420442	HGNC:5498	IGHD3-3
ENSG00000211931	ENST00000390591	ENSP00000430788	HGNC:5490	IGHD2-2
ENSG00000236170	ENST00000454908	ENSP00000418625	HGNC:5482	IGHD1-1
ENSG00000211933	ENST00000390593	ENSP00000375002	HGNC:5662	IGHV6-1
ENSG00000135723	ENST00000569085		HGNC:17905	FHOD1
ENSG00000135723	ENST00000258201	ENSP00000258201	HGNC:17905	FHOD1
ENSG00000135723	ENST00000567752		HGNC:17905	FHOD1
ENSG00000135723	ENST00000566006		HGNC:17905	FHOD1
ENSG00000135723	ENST00000567561	ENSP00000462807	HGNC:17905	FHOD1
ENSG00000135723	ENST00000567509	ENSP00000462988	HGNC:17905	FHOD1
ENSG00000135723	ENST00000569888		HGNC:17905	FHOD1
ENSG00000135723	ENST00000561922	ENSP00000458085	HGNC:17905	FHOD1
ENSG00000135723	ENST00000568595	ENSP00000464011	HGNC:17905	FHOD1
ENSG00000135723	ENST00000562266		HGNC:17905	FHOD1
ENSG00000254279	ENST00000517907		HGNC:5670	IGHVII-1-1
ENSG00000225200	ENST00000392301			
ENSG00000215545	ENST00000400549	ENSP00000383396	HGNC:18097	DEFB116
ENSG00000211934	ENST00000390594	ENSP00000375003	HGNC:5550	IGHV1-2
ENSG00000198960	ENST00000497931		HGNC:26094	ARMCX6
ENSG00000198960	ENST00000361910	ENSP00000354708	HGNC:26094	ARMCX6
ENSG00000198960	ENST00000538627	ENSP00000440648	HGNC:26094	ARMCX6
ENSG00000198960	ENST00000539247	ENSP00000444537	HGNC:26094	ARMCX6
ENSG00000198960	ENST00000462302		HGNC:26094	ARMCX6
ENSG00000198960	ENST00000467089		HGNC:26094	ARMCX6
ENSG00000198960	ENST00000495964		HGNC:26094	ARMCX6
ENSG00000198960	ENST00000494624		HGNC:26094	ARMCX6
ENSG00000235162	ENST00000548458		HGNC:35164	C12orf75
ENSG00000235162	ENST00000443585	ENSP00000448536	HGNC:35164	C12orf75
ENSG00000235162	ENST00000552457	ENSP00000447440	HGNC:35164	C12orf75
ENSG00000235162	ENST00000549893	ENSP00000449096	HGNC:35164	C12orf75
ENSG00000235162	ENST00000546866		HGNC:35164	C12orf75
ENSG00000235162	ENST00000549934	ENSP00000450095	HGNC:35164	C12orf75
ENSG00000235162	ENST00000548336		HGNC:35164	C12orf75
ENSG00000235162	ENST00000612117	ENSP00000479631	HGNC:35164	C12orf75
ENSG00000069869	ENST00000508871	ENSP00000422455	HGNC:7727	NEDD4
ENSG00000069869	ENST00000503468	ENSP00000426051	HGNC:7727	NEDD4
ENSG00000069869	ENST00000338963	ENSP00000345530	HGNC:7727	NEDD4
ENSG00000069869	ENST00000508342	ENSP00000424827	HGNC:7727	NEDD4
ENSG00000069869	ENST00000435532	ENSP00000410613	HGNC:7727	NEDD4
ENSG00000069869	ENST00000648451	ENSP00000498181	HGNC:7727	NEDD4
ENSG00000069869	ENST00000506154	ENSP00000422705	HGNC:7727	NEDD4
ENSG00000069869	ENST00000502612	ENSP00000424471	HGNC:7727	NEDD4
ENSG00000069869	ENST00000514893		HGNC:7727	NEDD4
ENSG00000069869	ENST00000507063	ENSP00000421047	HGNC:7727	NEDD4
ENSG00000069869	ENST00000513957		HGNC:7727	NEDD4
ENSG00000069869	ENST00000508075		HGNC:7727	NEDD4
ENSG00000069869	ENST00000557845		HGNC:7727	NEDD4
ENSG00000253780	ENST00000518843		HGNC:5695	IGHVIII-2-1
ENSG00000233618	ENST00000418630	ENSP00000400546	HGNC:8261	OR2J3
ENSG00000211935	ENST00000390595	ENSP00000375004	HGNC:5552	IGHV1-3
ENSG00000237929	ENST00000458430		HGNC:16549	RPL31P3
ENSG00000236121	ENST00000433254		HGNC:43765	HAUS6P2
ENSG00000230279	ENST00000412851	ENSP00000412555	HGNC:6709	LTA
ENSG00000230279	ENST00000473355		HGNC:6709	LTA
ENSG00000230279	ENST00000426845	ENSP00000402413	HGNC:6709	LTA
ENSG00000230279	ENST00000464086		HGNC:6709	LTA
ENSG00000252649	ENST00000516840		HGNC:43380	RNA5SP480
ENSG00000212717	ENST00000602356		HGNC:18098	DEFB117
ENSG00000276775	ENST00000455737	ENSP00000410711	HGNC:5652	IGHV4-4
ENSG00000131068	ENST00000253381	ENSP00000253381	HGNC:16196	DEFB118
ENSG00000282122	ENST00000631943	ENSP00000487727	HGNC:5665	IGHV7-4-1
ENSG00000204616	ENST00000471695		HGNC:16289	TRIM31
ENSG00000204616	ENST00000376734	ENSP00000365924	HGNC:16289	TRIM31
ENSG00000204616	ENST00000468264		HGNC:16289	TRIM31
ENSG00000204616	ENST00000484583		HGNC:16289	TRIM31
ENSG00000204616	ENST00000485864		HGNC:16289	TRIM31
ENSG00000204616	ENST00000480808		HGNC:16289	TRIM31
ENSG00000204616	ENST00000493404		HGNC:16289	TRIM31
ENSG00000211937	ENST00000390597	ENSP00000375006	HGNC:5576	IGHV2-5
ENSG00000253387	ENST00000523059		HGNC:5702	IGHVIII-5-1
ENSG00000254053	ENST00000522505		HGNC:5703	IGHVIII-5-2
ENSG00000253763	ENST00000518407		HGNC:5613	IGHV3-6
ENSG00000212134	ENST00000390832			
ENSG00000211938	ENST00000390598	ENSP00000375007	HGNC:5620	IGHV3-7
ENSG00000180483	ENST00000492344		HGNC:18099	DEFB119
ENSG00000180483	ENST00000339144	ENSP00000345768	HGNC:18099	DEFB119
ENSG00000180483	ENST00000376321	ENSP00000365499	HGNC:18099	DEFB119
ENSG00000180483	ENST00000376315	ENSP00000365492	HGNC:18099	DEFB119
ENSG00000282181	ENST00000633377		HGNC:42976	MROH5
ENSG00000282181	ENST00000633062		HGNC:42976	MROH5
ENSG00000282181	ENST00000632233	ENSP00000487596	HGNC:42976	MROH5
ENSG00000199480	ENST00000362610		HGNC:43289	RNA5SP389
ENSG00000254329	ENST00000519079		HGNC:5686	IGHVII-60-1
ENSG00000211970	ENST00000390630	ENSP00000375039	HGNC:5655	IGHV4-61
ENSG00000253132	ENST00000520057		HGNC:5615	IGHV3-62
ENSG00000253747	ENST00000519283		HGNC:5687	IGHVII-62-1
ENSG00000253936	ENST00000518422		HGNC:5616	IGHV3-63
ENSG00000223648	ENST00000454421	ENSP00000401707	HGNC:5617	IGHV3-64
ENSG00000102401	ENST00000341189	ENSP00000340672	HGNC:24065	ARMCX3
ENSG00000102401	ENST00000491568	ENSP00000457997	HGNC:24065	ARMCX3
ENSG00000102401	ENST00000479298	ENSP00000454251	HGNC:24065	ARMCX3
ENSG00000102401	ENST00000471229	ENSP00000454483	HGNC:24065	ARMCX3
ENSG00000102401	ENST00000477980		HGNC:24065	ARMCX3
ENSG00000102401	ENST00000467808		HGNC:24065	ARMCX3
ENSG00000102401	ENST00000537169	ENSP00000439032	HGNC:24065	ARMCX3
ENSG00000253209	ENST00000523210		HGNC:5618	IGHV3-65
ENSG00000253169	ENST00000519992		HGNC:5688	IGHVII-65-1
ENSG00000211972	ENST00000390632	ENSP00000375041	HGNC:5619	IGHV3-66
ENSG00000254815	ENST00000527620		HGNC:41204	LMNTD2-AS1
ENSG00000254815	ENST00000527113		HGNC:41204	LMNTD2-AS1
ENSG00000254815	ENST00000659402		HGNC:41204	LMNTD2-AS1
ENSG00000254815	ENST00000533844		HGNC:41204	LMNTD2-AS1
ENSG00000253274	ENST00000519713		HGNC:5556	IGHV1-67
