Gene stable ID	RefSeq ncRNA ID
ENSG00000282583	
ENSG00000282583	
ENSG00000282125	
ENSG00000293551	
ENSG00000291378	
ENSG00000291381	
ENSG00000291381	
ENSG00000291381	
ENSG00000291381	
ENSG00000291381	
ENSG00000291381	
ENSG00000291405	
ENSG00000291405	
ENSG00000291404	
ENSG00000291376	
ENSG00000288263	
ENSG00000291382	
ENSG00000288263	
ENSG00000291382	
ENSG00000288263	
ENSG00000288305	NR_028064
ENSG00000291377	
ENSG00000291375	
ENSG00000291375	
ENSG00000291375	
ENSG00000291375	
ENSG00000291379	
ENSG00000291379	
ENSG00000291379	NR_073502
ENSG00000291379	NR_073503
ENSG00000291379	
ENSG00000291379	
ENSG00000291379	
ENSG00000291379	
ENSG00000291379	NR_073501
ENSG00000291379	
ENSG00000291379	
ENSG00000291374	
ENSG00000291401	
ENSG00000291401	NR_148413
ENSG00000291401	
ENSG00000291401	
ENSG00000291401	
ENSG00000291401	
ENSG00000291380	
ENSG00000291380	
ENSG00000291380	
ENSG00000291380	
ENSG00000291380	
ENSG00000291380	
ENSG00000291380	
ENSG00000291380	
ENSG00000291380	
ENSG00000291380	
ENSG00000291380	
ENSG00000291380	
ENSG00000291388	NR_147210
ENSG00000291388	NR_147211
ENSG00000291402	NR_023386
ENSG00000291389	NR_004430
ENSG00000291390	
ENSG00000291391	
ENSG00000291392	NR_135764
ENSG00000291393	
ENSG00000291394	
ENSG00000291386	
ENSG00000291385	
ENSG00000291408	
ENSG00000291408	
ENSG00000291408	
ENSG00000291408	
ENSG00000291408	
ENSG00000291408	
ENSG00000291408	
ENSG00000291408	
ENSG00000291408	
ENSG00000291408	
ENSG00000291384	
ENSG00000291400	
ENSG00000291400	
ENSG00000291400	
ENSG00000291400	
ENSG00000291400	
ENSG00000291400	
ENSG00000291400	
ENSG00000291400	
ENSG00000291400	
ENSG00000291383	
ENSG00000291395	
ENSG00000291397	
ENSG00000291398	
ENSG00000291396	NR_004408
ENSG00000291399	NR_004400
ENSG00000291387	
ENSG00000291387	
ENSG00000291387	
ENSG00000291387	
ENSG00000292230	
ENSG00000291403	
ENSG00000292231	
ENSG00000291407	
ENSG00000292235	
ENSG00000292236	
ENSG00000292238	
ENSG00000292239	
ENSG00000292240	
ENSG00000292241	
ENSG00000292242	NR_027504
ENSG00000292229	
ENSG00000291426	
ENSG00000291426	
ENSG00000292226	
ENSG00000291426	
ENSG00000291426	
ENSG00000291426	
ENSG00000291426	
ENSG00000292226	
ENSG00000291426	
ENSG00000291426	
ENSG00000291426	
ENSG00000291426	
ENSG00000291426	
ENSG00000291426	
ENSG00000291426	
ENSG00000291427	NR_029409
ENSG00000292228	
ENSG00000291429	
ENSG00000291430	
ENSG00000292228	
ENSG00000291428	
ENSG00000292227	
ENSG00000291428	NR_046331
ENSG00000292227	
ENSG00000291428	
ENSG00000291428	
ENSG00000291428	
ENSG00000291428	
ENSG00000292225	
ENSG00000291428	
ENSG00000291428	
ENSG00000292225	
ENSG00000291428	
ENSG00000291428	
ENSG00000291428	
ENSG00000291428	
ENSG00000291428	
