name	source	ensembl_gene	ensembl_source
NM_001008232	Ensembl.RefSeq_mRNA:66535[1];Ensembl.RefSeq_mRNA:66535[1>0]	ENSMUSG00000036995	SCENIC:1392[0];MGI:17934[13];MGI:17934[13|6>12|0];Ensembl.MGI:26298[1>0]
NM_001008427	Ensembl.RefSeq_mRNA:145763[1];Ensembl.RefSeq_mRNA:145763[1>0]	ENSMUSG00000069727	SCENIC:1847[0];MGI:89764[13];MGI:89764[13|6>12|0];Ensembl.MGI:52028[1>0]
NM_001008501	Ensembl.RefSeq_mRNA:112709[1];Ensembl.RefSeq_mRNA:112709[1>0]	ENSMUSG00000067928	SCENIC:1142[0];MGI:34682[13];MGI:34682[13|6>12|0];Ensembl.MGI:41610[1>0]
NM_001008542	Ensembl.RefSeq_mRNA:83314[1];Ensembl.RefSeq_mRNA:83314[1>0]	ENSMUSG00000025025	SCENIC:467[0];MGI:173847[13|6];MGI:173847[13|6>12|0];Ensembl.MGI:31921[1>0]
NM_001008543	Ensembl.RefSeq_mRNA:83419[1];Ensembl.RefSeq_mRNA:83419[1>0]	ENSMUSG00000025025	SCENIC:467[0];MGI:173847[13|6];MGI:173847[13|6>12|0];Ensembl.MGI:31921[1>0]
NM_001008702	Ensembl.RefSeq_mRNA:6628[1];Ensembl.RefSeq_mRNA:6628[1>0]	ENSMUSG00000022150	SCENIC:1432[0];MGI:15124[13];MGI:15124[13|6>12|0];Ensembl.MGI:3333[1>0]
NM_001012325	Ensembl.RefSeq_mRNA:78713[1];Ensembl.RefSeq_mRNA:78713[1>0]	ENSMUSG00000058883	SCENIC:1120[0];MGI:29508[13];MGI:29508[13|6>12|0];Ensembl.MGI:30499[1>0]
NM_001012330	Ensembl.RefSeq_mRNA:12253[1];Ensembl.RefSeq_mRNA:12253[1>0]	ENSMUSG00000063659	SCENIC:678[0];MGI:752411[13];MGI:752146[13|6>12|0];Ensembl.MGI:5849[1>0]
NM_001012448	Ensembl.RefSeq_mRNA:78690[1];Ensembl.RefSeq_mRNA:78690[1>0]	ENSMUSG00000058883	SCENIC:1120[0];MGI:29508[13];MGI:29508[13|6>12|0];Ensembl.MGI:30499[1>0]
NM_001012449	Ensembl.RefSeq_mRNA:78712[1];Ensembl.RefSeq_mRNA:78712[1>0]	ENSMUSG00000058883	SCENIC:1120[0];MGI:29508[13];MGI:29508[13|6>12|0];Ensembl.MGI:30499[1>0]
