Gene stable ID	RefSeq peptide ID
ENSMUSG00000091987	
ENSMUSG00000095365	NP_001279986
ENSMUSG00000095365	NP_083246
ENSMUSG00000102739	
ENSMUSG00000094325	
ENSMUSG00000094325	NP_001096622
ENSMUSG00000095267	NP_033246
ENSMUSG00000095267	
ENSMUSG00000095520	
ENSMUSG00000095520	NP_001186261
ENSMUSG00000104267	
ENSMUSG00000103468	NP_001360822
ENSMUSG00000093903	
ENSMUSG00000093903	NP_001359462
ENSMUSG00000121543	
ENSMUSG00000121557	
ENSMUSG00000121556	
ENSMUSG00000101155	
ENSMUSG00000101155	
ENSMUSG00000101155	NP_963288
ENSMUSG00000096122	NP_001360833
ENSMUSG00000096122	NP_001017393
ENSMUSG00000101399	
ENSMUSG00000094052	
ENSMUSG00000094052	
ENSMUSG00000099948	
ENSMUSG00000100231	
ENSMUSG00000095508	
ENSMUSG00000095508	
ENSMUSG00000095606	NP_001360814
ENSMUSG00000095606	
ENSMUSG00000094570	NP_001360810
ENSMUSG00000095867	NP_001360832
ENSMUSG00000095867	NP_001153608
ENSMUSG00000094746	
ENSMUSG00000094746	
ENSMUSG00000095793	
ENSMUSG00000095793	
ENSMUSG00000096650	
ENSMUSG00000099531	
ENSMUSG00000094660	NP_001365341
ENSMUSG00000094660	
ENSMUSG00000099840	
ENSMUSG00000099840	
ENSMUSG00000099840	
ENSMUSG00000100485	NP_001365688
ENSMUSG00000100485	
ENSMUSG00000101158	
ENSMUSG00000101158	
ENSMUSG00000101286	
ENSMUSG00000101286	
ENSMUSG00000101933	
ENSMUSG00000101933	
ENSMUSG00000099894	
ENSMUSG00000099894	
ENSMUSG00000096769	
ENSMUSG00000094616	
ENSMUSG00000094647	
ENSMUSG00000094647	
ENSMUSG00000094821	
ENSMUSG00000094821	
ENSMUSG00000095979	
ENSMUSG00000095979	
ENSMUSG00000096902	
ENSMUSG00000096902	
ENSMUSG00000102045	
ENSMUSG00000095153	
ENSMUSG00000095153	
ENSMUSG00000047161	NP_001351921
ENSMUSG00000047161	NP_951010
ENSMUSG00000099541	
ENSMUSG00000047161	
ENSMUSG00000099541	
ENSMUSG00000100055	
ENSMUSG00000100055	
ENSMUSG00000100708	
ENSMUSG00000100708	
ENSMUSG00000100726	
ENSMUSG00000100726	
ENSMUSG00000024304	NP_031690
ENSMUSG00000024304	
ENSMUSG00000100972	
ENSMUSG00000100972	
ENSMUSG00000095578	
ENSMUSG00000095578	
ENSMUSG00000095135	
ENSMUSG00000095135	
ENSMUSG00000100667	
ENSMUSG00000100667	
ENSMUSG00000101653	
ENSMUSG00000101653	
ENSMUSG00000093895	
ENSMUSG00000093895	
ENSMUSG00000103371	
ENSMUSG00000103371	
ENSMUSG00000104191	
ENSMUSG00000104191	
ENSMUSG00000048799	NP_848801
ENSMUSG00000048799	
ENSMUSG00000100608	
ENSMUSG00000100608	
ENSMUSG00000101915	
ENSMUSG00000101915	
ENSMUSG00000073563	NP_690022
ENSMUSG00000073563	
ENSMUSG00000073563	
ENSMUSG00000094789	
ENSMUSG00000100467	
ENSMUSG00000100467	
ENSMUSG00000100338	
ENSMUSG00000100338	
ENSMUSG00000094181	
ENSMUSG00000094181	
ENSMUSG00000094782	
ENSMUSG00000094782	
ENSMUSG00000059898	NP_001278738
ENSMUSG00000095011	
ENSMUSG00000059898	NP_031908
ENSMUSG00000095011	
ENSMUSG00000059898	
ENSMUSG00000095141	
ENSMUSG00000095141	
ENSMUSG00000096178	
ENSMUSG00000096178	
ENSMUSG00000052713	NP_001347716
ENSMUSG00000052713	NP_786927
ENSMUSG00000052713	
ENSMUSG00000096626	
ENSMUSG00000096626	
ENSMUSG00000099740	
ENSMUSG00000099740	
ENSMUSG00000099792	
ENSMUSG00000099792	
ENSMUSG00000099925	
ENSMUSG00000099925	
ENSMUSG00000101528	
ENSMUSG00000101528	
ENSMUSG00000103528	
ENSMUSG00000103528	
ENSMUSG00000001700	
ENSMUSG00000102668	
ENSMUSG00000001700	NP_001347846
ENSMUSG00000102668	
ENSMUSG00000001700	NP_080516
ENSMUSG00000094813	
ENSMUSG00000101396	
ENSMUSG00000095950	
ENSMUSG00000101243	
ENSMUSG00000079806	
ENSMUSG00000100634	
ENSMUSG00000096036	
ENSMUSG00000096706	
ENSMUSG00000096268	
ENSMUSG00000096268	
ENSMUSG00000094773	
ENSMUSG00000094773	
ENSMUSG00000020607	NP_083283
ENSMUSG00000020607	
ENSMUSG00000096223	
ENSMUSG00000094556	
ENSMUSG00000094484	
ENSMUSG00000024331	NP_001304294
ENSMUSG00000091077	NP_001360820
ENSMUSG00000024331	NP_001304292
ENSMUSG00000024331	NP_038533
ENSMUSG00000094679	
ENSMUSG00000024331	
ENSMUSG00000096820	
ENSMUSG00000024331	
ENSMUSG00000095900	
ENSMUSG00000020601	NP_001409773
ENSMUSG00000020601	NP_653134
ENSMUSG00000020601	
ENSMUSG00000020601	
ENSMUSG00000071235	
ENSMUSG00000071235	
ENSMUSG00000071235	NP_001028948
ENSMUSG00000071235	NP_001162061
ENSMUSG00000071235	NP_001162060
ENSMUSG00000044322	NP_001278733
ENSMUSG00000044322	NP_038532
ENSMUSG00000044322	
ENSMUSG00000034774	NP_859008
ENSMUSG00000033863	NP_034768
ENSMUSG00000071234	NP_001028506
ENSMUSG00000071234	
ENSMUSG00000071234	
ENSMUSG00000069441	NP_034209
ENSMUSG00000035142	
ENSMUSG00000035142	NP_084036
ENSMUSG00000095452	
ENSMUSG00000061928	NP_859010
ENSMUSG00000095452	
ENSMUSG00000025075	NP_001316864
ENSMUSG00000021242	NP_075898
ENSMUSG00000025075	NP_666213
ENSMUSG00000025075	
ENSMUSG00000025075	
ENSMUSG00000025075	
ENSMUSG00000025075	
ENSMUSG00000021241	NP_083139
ENSMUSG00000021241	
ENSMUSG00000021241	
ENSMUSG00000021241	
ENSMUSG00000035133	NP_001395652
ENSMUSG00000035133	NP_001395651
ENSMUSG00000035133	
ENSMUSG00000035133	NP_001395653
ENSMUSG00000035133	NP_001395650
ENSMUSG00000035133	NP_033836
ENSMUSG00000053644	NP_001120810
ENSMUSG00000053644	
ENSMUSG00000053644	NP_613066
ENSMUSG00000053644	
ENSMUSG00000061603	NP_932779
ENSMUSG00000053644	
ENSMUSG00000061603	
ENSMUSG00000053644	
ENSMUSG00000024943	NP_001239613
ENSMUSG00000021010	NP_001357892
ENSMUSG00000021010	NP_001357889
ENSMUSG00000001804	NP_853543
ENSMUSG00000024943	NP_722503
ENSMUSG00000021010	NP_001357891
ENSMUSG00000021010	NP_038808
ENSMUSG00000021010	NP_001357890
ENSMUSG00000021010	NP_001357893
ENSMUSG00000021010	
ENSMUSG00000024943	NP_001239614
ENSMUSG00000021010	
ENSMUSG00000008301	NP_001156461
ENSMUSG00000008301	
ENSMUSG00000008301	NP_064380
ENSMUSG00000095263	
ENSMUSG00000035105	NP_082409
ENSMUSG00000032900	NP_080375
ENSMUSG00000032900	
ENSMUSG00000032900	
ENSMUSG00000032900	
ENSMUSG00000033207	NP_777282
ENSMUSG00000033207	
ENSMUSG00000033053	NP_080464
ENSMUSG00000094399	
ENSMUSG00000024590	NP_034851
ENSMUSG00000074925	NP_082484
ENSMUSG00000074925	
ENSMUSG00000074925	
ENSMUSG00000074925	
ENSMUSG00000074925	
ENSMUSG00000032656	NP_796089
ENSMUSG00000032656	NP_001361157
ENSMUSG00000032656	NP_001361156
ENSMUSG00000091039	NP_001157087
ENSMUSG00000058368	NP_082897
ENSMUSG00000062433	NP_034803
ENSMUSG00000065968	NP_001257647
ENSMUSG00000024897	NP_796008
ENSMUSG00000065968	
ENSMUSG00000024897	
ENSMUSG00000059632	NP_034805
ENSMUSG00000056706	NP_082047
ENSMUSG00000091212	NP_001106877
ENSMUSG00000052075	NP_001074246
ENSMUSG00000052075	NP_001271134
ENSMUSG00000052075	NP_079861
ENSMUSG00000071604	NP_001107646
ENSMUSG00000056632	NP_085099
ENSMUSG00000044117	NP_653101
ENSMUSG00000002020	NP_001357672
ENSMUSG00000044117	
ENSMUSG00000056632	
ENSMUSG00000044117	
ENSMUSG00000002020	NP_038617
ENSMUSG00000002020	
ENSMUSG00000002020	
ENSMUSG00000002020	
ENSMUSG00000033063	NP_001074598
ENSMUSG00000002020	
ENSMUSG00000024592	NP_084185
ENSMUSG00000024592	
ENSMUSG00000022827	NP_001035964
ENSMUSG00000022827	
ENSMUSG00000017843	
ENSMUSG00000047094	NP_742155
ENSMUSG00000047094	
ENSMUSG00000047094	
ENSMUSG00000044393	NP_031909
ENSMUSG00000022821	NP_038575
ENSMUSG00000044393	
ENSMUSG00000022821	
ENSMUSG00000024812	NP_001185914
ENSMUSG00000044393	
ENSMUSG00000017843	
ENSMUSG00000024812	
ENSMUSG00000024812	
ENSMUSG00000061808	NP_038725
ENSMUSG00000024812	
ENSMUSG00000024812	
ENSMUSG00000022820	NP_001348976
ENSMUSG00000022820	NP_080886
ENSMUSG00000024812	NP_001347321
ENSMUSG00000024812	NP_001347320
ENSMUSG00000024812	NP_001363297
ENSMUSG00000024812	NP_035727
ENSMUSG00000041817	NP_001139517
ENSMUSG00000041817	NP_001093928
ENSMUSG00000057762	
ENSMUSG00000056124	NP_062711
ENSMUSG00000059363	NP_032070
ENSMUSG00000059363	
ENSMUSG00000060739	NP_067527
ENSMUSG00000060739	
ENSMUSG00000017843	NP_001351142
ENSMUSG00000017843	NP_001351140
ENSMUSG00000017843	NP_001351141
ENSMUSG00000017843	NP_001128473
ENSMUSG00000017843	NP_001360881
ENSMUSG00000017843	NP_001360883
ENSMUSG00000017843	NP_001360882
ENSMUSG00000017843	NP_001360880
ENSMUSG00000017843	NP_001074927
ENSMUSG00000060657	NP_001074623
ENSMUSG00000060657	
ENSMUSG00000017843	NP_001351139
ENSMUSG00000017843	NP_001360879
ENSMUSG00000017843	NP_001074926
ENSMUSG00000024593	NP_001001979
ENSMUSG00000017843	NP_001351136
ENSMUSG00000017843	NP_001351143
ENSMUSG00000017843	NP_001351134
ENSMUSG00000017843	NP_001360878
ENSMUSG00000017843	NP_036153
ENSMUSG00000024593	
ENSMUSG00000017843	NP_001351138
ENSMUSG00000017843	NP_001351133
ENSMUSG00000017843	NP_001351137
ENSMUSG00000017843	NP_001351135
ENSMUSG00000022816	NP_032073
ENSMUSG00000108763	NP_001357827
ENSMUSG00000024867	NP_032872
ENSMUSG00000024867	
ENSMUSG00000021359	NP_001116420
ENSMUSG00000034158	NP_796067
ENSMUSG00000021359	
ENSMUSG00000074922	NP_080796
ENSMUSG00000021359	
ENSMUSG00000021359	NP_001288603
ENSMUSG00000048572	NP_898983
ENSMUSG00000021359	NP_035677
ENSMUSG00000046961	NP_700443
ENSMUSG00000021359	
ENSMUSG00000041731	NP_778178
ENSMUSG00000058927	
ENSMUSG00000051490	NP_032048
ENSMUSG00000033382	NP_001366299
ENSMUSG00000033382	NP_001348117
ENSMUSG00000033382	NP_796012
ENSMUSG00000042350	
ENSMUSG00000021360	NP_076376
ENSMUSG00000022812	NP_062801
ENSMUSG00000033382	NP_083767
ENSMUSG00000022812	NP_001334161
ENSMUSG00000033382	
ENSMUSG00000021360	NP_032131
ENSMUSG00000022812	
ENSMUSG00000021360	NP_573482
ENSMUSG00000021360	
ENSMUSG00000021360	
ENSMUSG00000042350	NP_001351118
ENSMUSG00000042350	NP_835166
ENSMUSG00000042350	NP_001351119
ENSMUSG00000033107	NP_080577
ENSMUSG00000042350	
ENSMUSG00000033107	NP_001351902
ENSMUSG00000042350	
ENSMUSG00000042350	
ENSMUSG00000042350	
ENSMUSG00000042350	
ENSMUSG00000024317	
ENSMUSG00000041138	
ENSMUSG00000024317	NP_997506
ENSMUSG00000024317	
