Gene stable ID	Transcript stable ID	Protein stable ID
ENSMUSG00000101120	ENSMUST00000187996	
ENSMUSG00000101216	ENSMUST00000188862	
ENSMUSG00000100032	ENSMUST00000191123	ENSMUSP00000140565
ENSMUSG00000101080	ENSMUST00000190867	
ENSMUSG00000101080	ENSMUST00000187906	
ENSMUSG00000094444	ENSMUST00000190314	
ENSMUSG00000094444	ENSMUST00000177888	
ENSMUSG00000100308	ENSMUST00000188383	
ENSMUSG00000101423	ENSMUST00000190443	
ENSMUSG00000101423	ENSMUST00000185287	
ENSMUSG00000095626	ENSMUST00000186850	
ENSMUSG00000095626	ENSMUST00000180134	
ENSMUSG00000101761	ENSMUST00000190933	
ENSMUSG00000101761	ENSMUST00000186679	
ENSMUSG00000099493	ENSMUST00000187240	
ENSMUSG00000096777	ENSMUST00000189444	
ENSMUSG00000096777	ENSMUST00000178692	
ENSMUSG00000102119	ENSMUST00000188058	
ENSMUSG00000102119	ENSMUST00000185217	
ENSMUSG00000101147	ENSMUST00000190372	
ENSMUSG00000100739	ENSMUST00000186151	
ENSMUSG00000100739	ENSMUST00000185585	
ENSMUSG00000095345	ENSMUST00000187288	
ENSMUSG00000095345	ENSMUST00000179646	
ENSMUSG00000100709	ENSMUST00000188322	
ENSMUSG00000100709	ENSMUST00000190203	
ENSMUSG00000101254	ENSMUST00000189115	
ENSMUSG00000100976	ENSMUST00000186579	
ENSMUSG00000100489	ENSMUST00000185642	
ENSMUSG00000101239	ENSMUST00000185977	
ENSMUSG00000100971	ENSMUST00000187496	
ENSMUSG00000100509	ENSMUST00000186188	
ENSMUSG00000095553	ENSMUST00000187044	
ENSMUSG00000095553	ENSMUST00000178771	
ENSMUSG00000101099	ENSMUST00000185427	
ENSMUSG00000101099	ENSMUST00000188742	
ENSMUSG00000095049	ENSMUST00000178380	
ENSMUSG00000101601	ENSMUST00000190631	
ENSMUSG00000101516	ENSMUST00000188026	
ENSMUSG00000101516	ENSMUST00000185455	
ENSMUSG00000101516	ENSMUST00000187907	
ENSMUSG00000101359	ENSMUST00000190920	
ENSMUSG00000100790	ENSMUST00000188788	
ENSMUSG00000100790	ENSMUST00000187047	
ENSMUSG00000100790	ENSMUST00000187840	
ENSMUSG00000101302	ENSMUST00000190126	
ENSMUSG00000101302	ENSMUST00000189729	
ENSMUSG00000101302	ENSMUST00000187457	
ENSMUSG00000102125	ENSMUST00000189379	
ENSMUSG00000102125	ENSMUST00000190808	
