name	source	ensembl_gene	ensembl_source
Nkx2-5	MGI:65137[13];MGI:65137[13|6>12|0];Ensembl.MGI:20628[1>0]	ENSMUSG00000015579	CURATED:186[0];MGI:65137[13];MGI:65137[13|6>12|0];Ensembl.MGI:20628[1>0]
Noto	MGI:100265[13];MGI:100265[13|6>12|0];Ensembl.MGI:28084[1>0]	ENSMUSG00000068302	CURATED:187[0];MGI:100265[13];MGI:100265[13|6>12|0];Ensembl.MGI:28084[1>0]
Nr2f1	MGI:98467[13];MGI:98467[13|6>12|0];Ensembl.MGI:13107[1>0]	ENSMUSG00000069171	CURATED:188[0];MGI:98467[13];MGI:98467[13|6>12|0];Ensembl.MGI:13107[1>0]
Nr2f2	MGI:17767[13];MGI:17767[13|6>12|0];Ensembl.MGI:14680[1>0]	ENSMUSG00000030551	CURATED:189[0];MGI:17767[13];MGI:17767[13|6>12|0];Ensembl.MGI:14680[1>0]
Nupr1	MGI:7815[13];MGI:7815[13|6>12|0];Ensembl.MGI:11233[1>0]	ENSMUSG00000030717	CURATED:190[0];MGI:7815[13];MGI:7815[13|6>12|0];Ensembl.MGI:11233[1>0]
Olig1	MGI:25875[13];MGI:25875[13|6>12|0];Ensembl.MGI:30415[1>0]	ENSMUSG00000046160	CURATED:191[0];MGI:25875[13];MGI:25875[13|6>12|0];Ensembl.MGI:30415[1>0]
Otx1	MGI:19210[13];MGI:19210[13|6>12|0];Ensembl.MGI:51543[1>0]	ENSMUSG00000005917	CURATED:192[0];MGI:19210[13];MGI:19210[13|6>12|0];Ensembl.MGI:51543[1>0]
Otx2	MGI:88143[13];MGI:88143[13|6>12|0];Ensembl.MGI:16912[1>0]	ENSMUSG00000021848	CURATED:193[0];MGI:88143[13];MGI:88143[13|6>12|0];Ensembl.MGI:16912[1>0]
Pax2	MGI:178758[13];MGI:178758[13|6>12|0];Ensembl.MGI:35867[1>0]	ENSMUSG00000004231	CURATED:194[0];MGI:178758[13];MGI:178758[13|6>12|0];Ensembl.MGI:35867[1>0]
Pax3	MGI:186225[13];MGI:186225[13|6>12|0];Ensembl.MGI:6514[1>0]	ENSMUSG00000004872	CURATED:195[0];MGI:186225[13];MGI:186225[13|6>12|0];Ensembl.MGI:6514[1>0]
Pax5	MGI:186229[13];MGI:186229[13|6>12|0];Ensembl.MGI:43728[1>0]	ENSMUSG00000014030	CURATED:196[0];MGI:186229[13];MGI:186229[13|6>12|0];Ensembl.MGI:43728[1>0]
Pax6	MGI:4727[13];MGI:4727[13|6>12|0];Ensembl.MGI:47218[1>0]	ENSMUSG00000027168	CURATED:197[0];MGI:4727[13];MGI:4727[13|6>12|0];Ensembl.MGI:47218[1>0]
Pbx1	MGI:8021[13];MGI:8021[13|6>12|0];Ensembl.MGI:37624[1>0]	ENSMUSG00000052534	CURATED:198[0];MGI:8021[13];MGI:8021[13|6>12|0];Ensembl.MGI:37624[1>0]
Pitx1	MGI:188323[13];MGI:187374[13|6>12|0];Ensembl.MGI:20861[1>0]	ENSMUSG00000021506	CURATED:199[0];MGI:188323[13];MGI:187374[13|6>12|0];Ensembl.MGI:20861[1>0]
Pou2f1	MGI:10164[13];MGI:10164[13|6>12|0];Ensembl.MGI:53587[1>0]	ENSMUSG00000026565	CURATED:200[0];MGI:10164[13];MGI:10164[13|6>12|0];Ensembl.MGI:53587[1>0]
Pou2f2	MGI:176985[13];MGI:176985[13|6>12|0];Ensembl.MGI:37552[1>0]	ENSMUSG00000008496	CURATED:201[0];MGI:176985[13];MGI:176985[13|6>12|0];Ensembl.MGI:37552[1>0]
Pou3f1	MGI:180402[13];MGI:180402[13|6>12|0];Ensembl.MGI:35757[1>0]	ENSMUSG00000090125	CURATED:202[0];MGI:180402[13];MGI:180402[13|6>12|0];Ensembl.MGI:35757[1>0]
Prdm1	MGI:33074[13];MGI:33074[13|6>12|0];Ensembl.MGI:12909[1>0]	ENSMUSG00000038151	CURATED:203[0];MGI:33074[13];MGI:33074[13|6>12|0];Ensembl.MGI:12909[1>0]
Prrx2	MGI:563131[13];MGI:189054[13|6>12|0];Ensembl.MGI:34639[1>0]	ENSMUSG00000039476	CURATED:204[0];MGI:563131[13];MGI:189054[13|6>12|0];Ensembl.MGI:34639[1>0]
Rara	MGI:190162[13|6];MGI:190162[13|6>12|0];Ensembl.MGI:13285[1>0]	ENSMUSG00000037992	CURATED:205[0];MGI:190162[13|6];MGI:190162[13|6>12|0];Ensembl.MGI:13285[1>0]
Rarb	MGI:160284[13];MGI:160284[13|6>12|0];Ensembl.MGI:29871[1>0]	ENSMUSG00000017491	CURATED:206[0];MGI:160284[13];MGI:160284[13|6>12|0];Ensembl.MGI:29871[1>0]
Rarg	MGI:23998[13];MGI:23998[13|6>12|0];Ensembl.MGI:24073[1>0]	ENSMUSG00000001288	CURATED:207[0];MGI:23998[13];MGI:23998[13|6>12|0];Ensembl.MGI:24073[1>0]
