name	source	ensembl_gene	ensembl_source
PFM6	HGNC.Current:26735[8];HGNC.Current:26735[8>1];HGNC.Current:26735[1];HGNC.Current:26735[1>0];Ensembl.HGNC:263475[3>0]	ENSG00000164256	Toronto:313[1];Ensembl:263451[0]
PFM6	HGNC.Current:26735[8];HGNC.Current:26735[8>1];HGNC.Current:26735[1];HGNC.Current:26735[1>0];Ensembl.HGNC:95642[3>0]	ENSG00000292167	SCENIC:720[0];HGNC.Current:26735[1];HGNC.Current:26735[1>0];Ensembl.HGNC:95642[3>0]
PFM7	HGNC.Current:26736[8];HGNC.Current:26736[8>1];HGNC.Current:26736[1];HGNC.Current:26736[1>0];Ensembl.HGNC:144005[3>0]	ENSG00000170325	Toronto:302[1];Ensembl:143981[0]
PFM8	HGNC.Current:26738[8];HGNC.Current:26738[8>1];HGNC.Current:26738[1];HGNC.Current:26738[1>0];Ensembl.HGNC:232431[3>0]	ENSG00000019485	SCENIC:1518[0];HGNC.Current:26738[1];HGNC.Current:26738[1>0];Ensembl.HGNC:232431[3>0]
PFM9	HGNC.Current:26739[8];HGNC.Current:26739[8>1];HGNC.Current:26739[1];HGNC.Current:26739[1>0];Ensembl.HGNC:58590[3>0]	ENSG00000130711	Toronto:303[1];Ensembl:58566[0]
PGA1	HGNC.Current:728[8];HGNC.Current:728[8>1];HGNC.Current:728[1];HGNC.Current:728[1>0];Ensembl.HGNC:9291[3>0]	ENSG00000160224	Toronto:1510[1];Ensembl:9291[0]
PGAM-M	HGNC.Current:25387[8];HGNC.Current:25387[8>1];HGNC.Current:25387[1];HGNC.Current:25387[1>0];Ensembl.HGNC:112836[3>0]	ENSG00000164708	SCENIC:1740[0];HGNC.Current:25387[1];HGNC.Current:25387[1>0];Ensembl.HGNC:112836[3>0]
PGAM2	HGNC.Current:25387[1];HGNC.Current:25387[1>0];Ensembl.HGNC:112836[3>0]	ENSG00000164708	SCENIC:1740[0];HGNC.Current:25387[1];HGNC.Current:25387[1>0];Ensembl.HGNC:112836[3>0]
PGC-1alpha	HGNC.Current:26364[8];HGNC.Current:26364[8>1];HGNC.Current:26364[1];HGNC.Current:26364[1>0];Ensembl.HGNC:14686[3>0]	ENSG00000109819	SCENIC:1755[0];HGNC.Current:26364[1];HGNC.Current:26364[1>0];Ensembl.HGNC:14686[3>0]
PGC1	HGNC.Current:26364[8];HGNC.Current:26364[8>1];HGNC.Current:26364[1];HGNC.Current:26364[1>0];Ensembl.HGNC:14686[3>0]	ENSG00000109819	SCENIC:1755[0];HGNC.Current:26364[1];HGNC.Current:26364[1>0];Ensembl.HGNC:14686[3>0]
PGC1A	HGNC.Current:26364[8];HGNC.Current:26364[8>1];HGNC.Current:26364[1];HGNC.Current:26364[1>0];Ensembl.HGNC:14686[3>0]	ENSG00000109819	SCENIC:1755[0];HGNC.Current:26364[1];HGNC.Current:26364[1>0];Ensembl.HGNC:14686[3>0]
PGPL	HGNC.Current:11056[8];HGNC.Current:11056[8>1];HGNC.Current:11056[1];HGNC.Current:11056[1>0];Ensembl.HGNC:140723[3>0]	ENSG00000178605	SCENIC:1641[0];HGNC.Current:11056[1];HGNC.Current:11056[1>0];Ensembl.HGNC:140723[3>0]
PGPL	HGNC.Current:11056[8];HGNC.Current:11056[8>1];HGNC.Current:11056[1];HGNC.Current:11056[1>0];Ensembl.HGNC:679[3>0]	ENSG00000292358	SCENIC:1641[0];HGNC.Current:11056[1];HGNC.Current:11056[1>0];Ensembl.HGNC:679[3>0]
PGR	HGNC.Current:25451[1];HGNC.Current:25451[1>0];Ensembl.HGNC:198399[3>0]	ENSG00000082175	Toronto:1462[1];Ensembl:198375[0]
PH2	HGNC.Current:10852[8];HGNC.Current:10852[8>1];HGNC.Current:10852[1];HGNC.Current:10852[1>0];Ensembl.HGNC:12654[3>0]	ENSG00000137106	SCENIC:1639[0];HGNC.Current:10852[1];HGNC.Current:10852[1>0];Ensembl.HGNC:12654[3>0]
PHF1	HGNC.Current:25498[1];HGNC.Current:25498[1>0];Ensembl.HGNC:135496[3>0]	ENSG00000112511	Toronto:1611[1];Ensembl:135472[0]
PHF1	HGNC.Current:25498[1];HGNC.Current:25498[1>0];Ensembl.HGNC:122453[3>0]	ENSG00000225553	SCENIC:64[0];HGNC.Current:25498[1];HGNC.Current:25498[1>0];Ensembl.HGNC:122453[3>0]
PHF1	HGNC.Current:25498[1];HGNC.Current:25498[1>0];Ensembl.HGNC:156112[3>0]	ENSG00000239756	SCENIC:64[0];HGNC.Current:25498[1];HGNC.Current:25498[1>0];Ensembl.HGNC:156112[3>0]
PHF12	HGNC.Current:25518[1];HGNC.Current:25518[1>0];Ensembl.HGNC:172387[3>0]	ENSG00000109118	SCENIC:1741[0];HGNC.Current:25518[1];HGNC.Current:25518[1>0];Ensembl.HGNC:172387[3>0]
PHF18	HGNC.Current:5933[8];HGNC.Current:5933[8>1];HGNC.Current:5933[1];HGNC.Current:5933[1>0];Ensembl.HGNC:73816[3>0]	ENSG00000154832	Toronto:993[1];Ensembl:73792[0]
PHF19	HGNC.Current:25521[1];HGNC.Current:25521[1>0];Ensembl.HGNC:74225[3>0]	ENSG00000119403	Toronto:1612[1];Ensembl:74201[0]
PHF2	HGNC.Current:25499[1];HGNC.Current:25499[1>0];Ensembl.HGNC:190454[3>0]	ENSG00000197724	SCENIC:1742[0];HGNC.Current:25499[1];HGNC.Current:25499[1>0];Ensembl.HGNC:190454[3>0]
PHF20	HGNC.Current:25522[1];HGNC.Current:25522[1>0];Ensembl.HGNC:17397[3>0]	ENSG00000025293	Toronto:24[1];Ensembl:17397[0]
PHF21A	HGNC.Current:25524[1];HGNC.Current:25524[1>0];Ensembl.HGNC:192397[3>0]	ENSG00000135365	Toronto:25[1];Ensembl:192373[0]
PHF8	HGNC.Current:25513[1];HGNC.Current:25513[1>0];Ensembl.HGNC:100393[3>0]	ENSG00000172943	SCENIC:1743[0];HGNC.Current:25513[1];HGNC.Current:25513[1>0];Ensembl.HGNC:100393[3>0]
PHLDA2	HGNC.Current:25548[1];HGNC.Current:25548[1>0];Ensembl.HGNC:89464[3>0]	ENSG00000181649	SCENIC:1744[0];HGNC.Current:25548[1];HGNC.Current:25548[1>0];Ensembl.HGNC:89464[3>0]
PHLDA2	HGNC.Current:25548[1];HGNC.Current:25548[1>0];Ensembl.HGNC:31404[3>0]	ENSG00000274538	SCENIC:1744[0];HGNC.Current:25548[1];HGNC.Current:25548[1>0];Ensembl.HGNC:31404[3>0]
PHOG	HGNC.Current:35360[8];HGNC.Current:35360[8>1];HGNC.Current:35360[1];HGNC.Current:35360[1>0];Ensembl.HGNC:105042[3>0]	ENSG00000185960	Toronto:1326[1];Ensembl:105018[0]
PHOG	HGNC.Current:35360[8];HGNC.Current:35360[8>1];HGNC.Current:35360[1];HGNC.Current:35360[1>0];Ensembl.HGNC:655[3>0]	ENSG00000292354	SCENIC:116[0];HGNC.Current:35360[1];HGNC.Current:35360[1>0];Ensembl.HGNC:655[3>0]
PHOX1	HGNC.Current:27023[8];HGNC.Current:27023[8>1];HGNC.Current:27023[1];HGNC.Current:27023[1>0];Ensembl.HGNC:97726[3>0]	ENSG00000116132	Toronto:1318[1];Ensembl:97702[0]
PHOX2A	HGNC.Current:25557[1];HGNC.Current:25557[1>0];Ensembl.HGNC:88987[3>0]	ENSG00000165462	Toronto:1310[1];Ensembl:88963[0]
PHOX2B	HGNC.Current:25558[1];HGNC.Current:25558[1>0];Ensembl.HGNC:158262[3>0]	ENSG00000109132	Toronto:1311[1];Ensembl:158238[0]
PHP	HGNC.Current:37135[10];HGNC.Withdrawn:2321[2>3];Ensembl.HGNC:46999[3>0]	ENSG00000134595	Toronto:1144[1];Ensembl:46975[0]
PHS	HGNC.Current:10342[10];HGNC.Withdrawn:2322[2>3];Ensembl.HGNC:124357[3>0]	ENSG00000106571	Toronto:240[1];Ensembl:124333[0]
PHTF	HGNC.Current:25562[10];HGNC.Withdrawn:2323[2>3];Ensembl.HGNC:73563[3>0]	ENSG00000116793	SCENIC:1184[0];HGNC.Current:25562[1];HGNC.Current:25562[1>0];Ensembl.HGNC:73563[3>0]
PHTF1	HGNC.Current:25562[1];HGNC.Current:25562[1>0];Ensembl.HGNC:73563[3>0]	ENSG00000116793	SCENIC:1184[0];HGNC.Current:25562[1];HGNC.Current:25562[1>0];Ensembl.HGNC:73563[3>0]
pHZ-1	HGNC.Current:43167[8];HGNC.Current:43167[8>1];HGNC.Current:43167[1];HGNC.Current:43167[1>0];Ensembl.HGNC:26916[3>0]	ENSG00000166478	Toronto:451[1];Ensembl:26892[0]
pHZ-10	HGNC.Current:43154[8];HGNC.Current:43154[8>1];HGNC.Current:43154[1];HGNC.Current:43154[1>0];Ensembl.HGNC:230672[3>0]	ENSG00000172262	Toronto:440[1];Ensembl:230648[0]
pHZ-12	HGNC.Current:43155[8];HGNC.Current:43155[8>1];HGNC.Current:43155[1];HGNC.Current:43155[1>0];Ensembl.HGNC:222189[3>0]	ENSG00000131849	Toronto:441[1];Ensembl:222165[0]
pHZ-13	HGNC.Current:43157[8];HGNC.Current:43157[8>1];HGNC.Current:43157[1];HGNC.Current:43157[1>0];Ensembl.HGNC:113073[3>0]	ENSG00000125846	Toronto:442[1];Ensembl:113049[0]
pHZ-15	HGNC.Current:43159[8];HGNC.Current:43159[8>1];HGNC.Current:43159[1];HGNC.Current:43159[1>0];Ensembl.HGNC:88399[3>0]	ENSG00000213762	Toronto:443[1];Ensembl:88375[0]
pHZ-17	HGNC.Current:43160[8];HGNC.Current:43160[8>1];HGNC.Current:43160[1];HGNC.Current:43160[1>0];Ensembl.HGNC:170358[3>0]	ENSG00000176293	Toronto:444[1];Ensembl:170334[0]
pHZ-20	HGNC.Current:43161[8];HGNC.Current:43161[8>1];HGNC.Current:43161[1];HGNC.Current:43161[1>0];Ensembl.HGNC:178347[3>0]	ENSG00000196646	Toronto:445[1];Ensembl:178323[0]
pHZ-32	HGNC.Current:43163[8];HGNC.Current:43163[8>1];HGNC.Current:43163[1];HGNC.Current:43163[1>0];Ensembl.HGNC:140372[3>0]	ENSG00000197008	Toronto:446[1];Ensembl:140348[0]
PHZ-37	HGNC.Current:43023[8];HGNC.Current:43023[8>1];HGNC.Current:43023[1];HGNC.Current:43023[1>0];Ensembl.HGNC:222873[3>0]	ENSG00000106261	Toronto:421[1];Ensembl:222849[0]
pHZ-39	HGNC.Current:43164[8];HGNC.Current:43164[8>1];HGNC.Current:43164[1];HGNC.Current:43164[1>0];Ensembl.HGNC:201737[3>0]	ENSG00000196387	Toronto:448[1];Ensembl:201713[0]
pHZ-44	HGNC.Current:43165[8];HGNC.Current:43165[8>1];HGNC.Current:43165[1];HGNC.Current:43165[1>0];Ensembl.HGNC:211497[3>0]	ENSG00000131127	Toronto:449[1];Ensembl:211473[0]
pHZ-49	HGNC.Current:43166[8];HGNC.Current:43166[8>1];HGNC.Current:43166[1];HGNC.Current:43166[1>0];Ensembl.HGNC:174250[3>0]	ENSG00000115568	Toronto:450[1];Ensembl:174226[0]
pHZ-52	HGNC.Current:43169[8];HGNC.Current:43169[8>1];HGNC.Current:43169[1];HGNC.Current:43169[1>0];Ensembl.HGNC:237752[3>0]	ENSG00000163848	Toronto:453[1];Ensembl:237728[0]
pHZ-66	HGNC.Current:43157[8];HGNC.Current:43157[8>1];HGNC.Current:43157[1];HGNC.Current:43157[1>0];Ensembl.HGNC:113073[3>0]	ENSG00000125846	Toronto:442[1];Ensembl:113049[0]
pHZ-67	HGNC.Current:42807[8];HGNC.Current:42807[8>1];HGNC.Current:42807[1];HGNC.Current:42807[1>0];Ensembl.HGNC:223802[3>0]	ENSG00000116809	Toronto:356[1];Ensembl:223778[0]
pHZ-92	HGNC.Current:43170[8];HGNC.Current:43170[8>1];HGNC.Current:43170[1];HGNC.Current:43170[1>0];Ensembl.HGNC:163737[3>0]	ENSG00000179909	Toronto:454[1];Ensembl:163713[0]
pHZ-96	HGNC.Current:43171[8];HGNC.Current:43171[8>1];HGNC.Current:43171[1];HGNC.Current:43171[1>0];Ensembl.HGNC:234013[3>0]	ENSG00000204920	Toronto:455[1];Ensembl:233989[0]
PICK1	HGNC.Current:25586[1];HGNC.Current:25586[1>0];Ensembl.HGNC:26970[3>0]	ENSG00000100151	SCENIC:1745[0];HGNC.Current:25586[1];HGNC.Current:25586[1>0];Ensembl.HGNC:26970[3>0]
PIDX	HGNC.Current:9483[8];HGNC.Current:9483[8>1];HGNC.Current:9483[1];HGNC.Current:9483[1>0];Ensembl.HGNC:148487[3>0]	ENSG00000049768	Toronto:1098[1];Ensembl:148463[0]
PIF79	HGNC.Current:10427[8];HGNC.Current:10427[8>1];HGNC.Current:10427[1];HGNC.Current:10427[1>0];Ensembl.HGNC:61756[3>0]	ENSG00000101216	Toronto:1513[1];Ensembl:61732[0]
PIF96	HGNC.Current:10426[8];HGNC.Current:10426[8>1];HGNC.Current:10426[1];HGNC.Current:10426[1>0];Ensembl.HGNC:192210[3>0]	ENSG00000162419	Toronto:1512[1];Ensembl:192186[0]
PIG54	HGNC.Current:25236[8];HGNC.Current:25236[8>1];HGNC.Current:25236[1];HGNC.Current:25236[1>0];Ensembl.HGNC:207254[3>0]	ENSG00000121892	SCENIC:1739[0];HGNC.Current:25236[1];HGNC.Current:25236[1>0];Ensembl.HGNC:207254[3>0]
PIK3C3	HGNC.Current:25641[1];HGNC.Current:25641[1>0];Ensembl.HGNC:50152[3>0]	ENSG00000078142	SCENIC:1746[0];HGNC.Current:25641[1];HGNC.Current:25641[1>0];Ensembl.HGNC:50152[3>0]
PILOT	HGNC.Current:7621[8];HGNC.Current:7621[8>1];HGNC.Current:7621[1];HGNC.Current:7621[1>0];Ensembl.HGNC:10244[3>0]	ENSG00000179388	Toronto:230[1];Ensembl:10244[0]
PIN1	HGNC.Current:25670[1];HGNC.Current:25670[1>0];Ensembl.HGNC:75719[3>0]	ENSG00000127445	Toronto:1404[1];Ensembl:75695[0]
PIN2	HGNC.Current:38632[8];HGNC.Current:38632[8>1];HGNC.Current:38632[1];HGNC.Current:38632[1>0];Ensembl.HGNC:89863[3>0]	ENSG00000147601	Toronto:1424[1];Ensembl:89839[0]
PIR	HGNC.Current:25695[1];HGNC.Current:25695[1>0];Ensembl.HGNC:15569[3>0]	ENSG00000087842	SCENIC:1185[0];HGNC.Current:25695[1];HGNC.Current:25695[1>0];Ensembl.HGNC:15569[3>0]
PIT-1	HGNC.Current:26326[8];HGNC.Current:26326[8>1];HGNC.Current:26326[1];HGNC.Current:26326[1>0];Ensembl.HGNC:189790[3>0]	ENSG00000064835	Toronto:1357[1];Ensembl:189766[0]
PIT1	HGNC.Current:26326[10];HGNC.Withdrawn:2329[2>3];Ensembl.HGNC:189790[3>0]	ENSG00000064835	Toronto:1357[1];Ensembl:189766[0]
PITX1	HGNC.Current:25825[1];HGNC.Current:25825[1>0];Ensembl.HGNC:248371[3>0]	ENSG00000069011	Toronto:1312[1];Ensembl:248347[0]
PITX2	HGNC.Current:25827[1];HGNC.Current:25827[1>0];Ensembl.HGNC:146522[3>0]	ENSG00000164093	Toronto:1313[1];Ensembl:146498[0]
PITX3	HGNC.Current:25828[1];HGNC.Current:25828[1>0];Ensembl.HGNC:194360[3>0]	ENSG00000107859	Toronto:1314[1];Ensembl:194336[0]
PK3	HGNC.Current:25863[8];HGNC.Current:25863[8>1];HGNC.Current:25863[1];HGNC.Current:25863[1>0];Ensembl.HGNC:155514[3>0]	ENSG00000067225	SCENIC:1747[0];HGNC.Current:25863[1];HGNC.Current:25863[1>0];Ensembl.HGNC:155514[3>0]
PKL	HGNC.Current:10289[8];HGNC.Current:10289[8>1];HGNC.Current:10289[1];HGNC.Current:10289[1>0];Ensembl.HGNC:216461[3>0]	ENSG00000139436	SCENIC:1632[0];HGNC.Current:10289[1];HGNC.Current:10289[1>0];Ensembl.HGNC:216461[3>0]
PKM	HGNC.Current:25863[1];HGNC.Current:25863[1>0];Ensembl.HGNC:155514[3>0]	ENSG00000067225	SCENIC:1747[0];HGNC.Current:25863[1];HGNC.Current:25863[1>0];Ensembl.HGNC:155514[3>0]
